Product Name,Price,Ratings
"Apple MacBook Pro 13"" Core I5 2.4GHz 8GB RAM, 500GB HDD (2012) Silver Refurbished","KSh 21,495",3.4 out of 5
"Apple Refurbished 13.3"" MacBook Pro A1278, Intel Core I5, 8GB RAM, 500GB HDD - Silver","KSh 17,152",3.3 out of 5
"Apple MacBook Pro 13"" Core I5 2.4GHz 8GB RAM, 500GB HDD (2012) Silver Refurbished","KSh 21,499",3.3 out of 5
"Apple Refurbished MacBook Pro 13"" Core I5 8GB RAM, 1TB HDD ( 2012) 2.5GHz- Silver","KSh 23,499",4 out of 5
"Apple Refurbished MacBook Pro 13"" Core I5 2.5GHz 8GB RAM, 500GB HDD ( 2012) - Silver","KSh 19,999",4.8 out of 5
"Apple Refurbished MacBook Pro 13"" Core I5 2.5GHz 8GB RAM 256GB SSD (Mid 2012) Laptop Silver + Bag (6 Months WRTY)","KSh 23,999",3 out of 5
"Apple  Refurbished MacBook Pro 13 2015, Core I5, 8GB RAM, 256GB SSD Retina 13-inch","KSh 34,600",3.5 out of 5
"Apple Refurbished MacBook Pro 13"" Core I5 4GB RAM, 500GB HDD ( 2012)  2.5GHz- Silver, 6 Months WRTY","KSh 20,999",5 out of 5
"Apple Refurbished 16GB Ram, MacBook Pro 13''(2012) Fast 256gb SSD, Macbook Operating System Installed, Office Installed,Free Bag + Charger + Wireless Mouse + Mouse Pad + Free Extension.","KSh 24,999",No rating
Apple MacBook Air Core M Gold A1534 With 8GB RAM And 512GB SSD,"KSh 40,000",No rating
Apple Refurbished Macbook Air 2017 13inch Core I5 8GB Ram 128gb SSD - Silver,"KSh 34,840",No rating
"Apple  MacBook Pro 13"" Core I5 2.4GHz 8GB RAM, 500GB HDD (2012) Silver Refurbished","KSh 19,990",No rating
"Apple Refurbished  MacBook Pro  Core I5 -8GB RAM, 256GB SSD (2012) Laptop -Silver  13""","KSh 18,999",1.5 out of 5
"Apple MacBook Pro 13"" Core I5 2.4GHz 8GB RAM, 500GB HDD (2012) Silver Refurbished","KSh 21,490",No rating
"Apple Refurbished MacBook Pro 13"" Core I5 4GB RAM, 1TB HDD ( 2012)  2.5GHz- Silver, 6 Months WRTY","KSh 21,500",No rating
"Apple MacBook Pro 13""- Core I5 -8GB RAM, 256GB SSD (2012) Laptop -Silver","KSh 22,399",1.7 out of 5
"Apple MacBook Pro 13"" Core I5 2.5GHz 8GB RAM, 256GB SSD ( Early2011) Laptop","KSh 23,999",No rating
"Apple MacBook Pro 13-inch (2018) – Intel Core i7, 16GB RAM, 256GB SSD Refurbished","KSh 60,000",1 out of 5
"Apple MacBook Pro 13"" Core I5 2.4GHz 8GB RAM, 500GB HDD (2012) Silver Refurbished","KSh 19,993",No rating
"Apple MacBook Pro 2011 Intel Core i7 8GB RAM 256GB SSD, 13.3 Inches,  2.8GHz Processor speed Refurbished Laptop","KSh 29,500",No rating
Apple MacBook Pro 2012 Core I5 2.5GHz 8GB RAM 256GB SSD 13 Inch  (Mid 2012) MacOS Refurbished Laptop Silver,"KSh 22,900",No rating
Apple MacBook Air Core i5 2015 4GB RAM 256 GB SSD 13 Inches A1466  MacOS Ultra Slim Refurbished Laptop,"KSh 35,000",4 out of 5
"Apple MacBook Pro 13"" Core I5 2.4GHz 8GB RAM, 500GB HDD (2012) Silver Refurbished","KSh 20,500",No rating
"Apple Refurbished MacBook Pro 16-inch, 2019) CORE I9 32GB RAM 1TB SSD WITH TOUCHBAR 4GB GRAPHIC CARD MAC OS INSTALLED PLUS COMPLETE Laptop Silver + free laptop Bag, (6 Months WRTY)","KSh 88,900",No rating
Apple Mac Book Pro 2017,"KSh 52,500",No rating
Apple Macbook Pro Retina 13-inch 2.7 GHz Intel Core i5 8GB Ram 256 GB Drive,"KSh 36,000",No rating
"Apple  16GB RAM,  Refurbished  MacBook pro 13''(2012) Fast 256gb SSD, Macbook Operating System Installed, Office Installed + Free Wireless Mouse","KSh 33,500",No rating
"Apple Refurbished MacBook Pro 13"" Core I5 2.5GHz 8GB RAM 500GB HDD (Mid 2012) Laptop Silver + Bag, (6 Months WRTY)","KSh 22,499",5 out of 5
"Apple MacBook Pro 13""- Core I5 -16GB RAM, 512GB SSD (2012) Laptop -Silver Refurbished, 6 Months WRTY","KSh 34,499",No rating
"Apple Refurbished 8GB Ram, MacBook Pro 13''(2012) Fast 256gb SSD, Macbook Operating System Installed, Office Installed,Free Bag + Charger + Wireless Mouse + Mouse Pad + Free Extension.","KSh 24,999",5 out of 5
"Apple  MacBook Pro 13""- Core I5 -16GB RAM, 512GB SSD (2012) Laptop -Silver Refurbished, (6 Months WRTY)","KSh 36,599",No rating
"Apple Refurbished MacBook Pro 13"" Core I5 8GB RAM, 1TB HDD ( 2012)  2.5GHz- Silver, 6 Months WRTY","KSh 25,999",No rating
"Apple MacBook Pro (16-inch, 2019) CORE I7 32GB RAM 1TB SSD WITH TOUCHBAR 4GB GRAPHIC CARD MAC OS INSTALLED PLUS COMPLETE CHARGER","KSh 81,999",No rating
"Apple  MacBook Pro 13"" Core I5 2.4GHz 8GB RAM, 500GB HDD (2012) Silver Refurbished","KSh 26,250",3.8 out of 5
"Apple Refurbished MacBook Pro 13 2012 Core I5 2.5GHz 16GB RAM 1TB HDD MacOS (Mid 2012) Laptop Silver + Bag, (6 Months WRTY)","KSh 26,900",No rating
"Apple Refurbished MacBook Pro 13"" Core I5 2.4GHz 8GB RAM 500Gb HDD (2011) Laptop - Silver.","KSh 22,000",No rating
"Apple  MacBook Pro 2020 – M1 Chip, 8GB RAM, 256GB SSD, 13.3” Retina Display, Touch Bar, macOS refurbished","KSh 91,800",No rating
"Apple Refurbished MacBook Pro 13"" Core I5 2.4GHz 8GB RAM 256GB SSD (2011) Laptop - Silver (6 Months WRTY)","KSh 23,900",4 out of 5
"Apple MacBook Pro 13"" Core I5 2.4GHz 8GB RAM, 500GB HDD (2012) Silver Refurbished","KSh 22,499",No rating
Apple MacBook Pro 2018 16 GB Ram 256 Ssd Core I5 Touchbar 4k Retina Display,"KSh 59,650",1 out of 5
