,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,11779,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19769709.0,19769709.0,False,,1,,,,2024-10-19T07:44:00.000Z,68326.12114759245,30188238629.89158,-15.2607,-0.06878939,0.54641476,8.92465778,9.96009961,12.11155887,2.37198329,1350787532186.6487,57.5988,1434848544099.44,,2024-10-19T07:44:00.000Z,,,,,,2024-10-19 10:47:03.059958
1,1027,Ethereum,ETH,ethereum,9431,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120388140.92288499,120388140.92288499,True,,2,,,,2024-10-19T07:44:00.000Z,2639.780199372349,14593067851.839277,-8.1774,-0.23829319,0.22944461,7.91271537,8.31629473,-1.40975105,-24.32784045,317798230647.4798,13.5523,317798230647.48,,2024-10-19T07:44:00.000Z,,,,,,2024-10-19 10:47:03.059958
2,825,Tether USDt,USDT,tether,100726,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,120103979667.94356,121362937380.47127,True,,3,,,,2024-10-19T07:44:00.000Z,0.9999308986427397,51624385779.09729,-11.5732,0.00638399,0.01783303,0.02523563,-0.0110139,-0.0915549,-0.03916683,120095680319.93613,5.1207,121354551036.78,,2024-10-19T07:44:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-10-19 10:47:03.059958
3,1839,BNB,BNB,bnb,2263,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,145931590.79924825,145931590.79924825,False,,4,,,,2024-10-19T07:44:00.000Z,597.6160576664715,1586141431.8605878,-6.3049,-0.06792879,0.06777973,3.47702845,7.22336157,5.10728797,0.87375571,87211061982.44347,3.7186,87211061982.44,,2024-10-19T07:44:00.000Z,,,,,,2024-10-19 10:47:03.059958
4,5426,Solana,SOL,solana,767,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,469938943.2954877,586859052.7736253,True,,5,,,,2024-10-19T07:44:00.000Z,154.4460061337097,1544884602.2479346,-26.1273,-0.357568,0.39784912,6.10617519,11.38959377,4.91266152,-10.04577589,72580192918.68394,3.0947,90638036864.3,,2024-10-19T07:44:00.000Z,,,,,,2024-10-19 10:47:03.059958
5,3408,USDC,USDC,usd-coin,22555,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,35000819588.393005,35000819588.393005,False,,6,,,,2024-10-19T07:44:00.000Z,0.9999502843498744,5159788619.714864,-7.8886,0.00129792,-0.00593563,-0.00040027,0.00016654,-0.04437901,0.00150657,34999079499.89224,1.4923,34999079499.89,,2024-10-19T07:44:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-10-19 10:47:03.059958
6,52,XRP,XRP,xrp,1407,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,56706436160.0,99987115141.0,False,,7,,,,2024-10-19T07:44:00.000Z,0.5470428469454444,885729215.5157626,-26.1539,-0.00781515,-0.65075357,1.67034588,-6.37996874,-10.23612767,-7.42928353,31020850277.096493,1.3227,54704284694.54,,2024-10-19T07:44:00.000Z,,,,,,2024-10-19 10:47:03.059958
7,74,Dogecoin,DOGE,dogecoin,1083,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,146428716383.7052,146428716383.7052,True,,8,,,,2024-10-19T07:44:00.000Z,0.14452826245053488,2141810301.7186875,5.8372,-0.52781466,7.50784508,30.06889079,38.87948475,36.92903411,10.20357111,21163087951.79908,0.9024,21163087951.8,,2024-10-19T07:44:00.000Z,,,,,,2024-10-19 10:47:03.059958
8,1958,TRON,TRX,tron,1054,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,86521024770.59567,86521070493.92067,True,,9,71659659264.0,11331976230.287123,,2024-10-19T07:44:00.000Z,0.15813606074429132,231425328.8894667,-15.8687,-0.049254,-0.56362255,-2.42953031,5.20784057,9.00575848,17.96143001,13682094028.781252,0.5834,13682101259.29,,2024-10-19T07:44:00.000Z,,,,,,2024-10-19 10:47:03.059958
9,11419,Toncoin,TON,toncoin,581,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2539328295.120007,5113457452.9055605,True,,10,3414166606.0,17986421192.419846,,2024-10-19T07:44:00.000Z,5.268173252239889,143780090.70695636,-19.2876,-0.16891134,1.05815725,0.71290029,-8.71674039,-23.30144474,-27.32414484,13377621403.007141,0.5704,26938579779.86,,2024-10-19T07:44:00.000Z,,,,,,2024-10-19 10:47:03.059958
