Job Title Clean	Job Title Entities	Pros Clean	Pros Entities	Cons Clean	Cons Entities	Cleaned Status	Cleaned Rating	Time	Employment_Type	Role_Type	Duration	Company_Name	combined_text	similarity	x	y	Rating_scaled	Role_Type_contractor	Role_Type_employee	Role_Type_freelancer	Role_Type_internship	Role_Type_temporary	hybrid_similarity	relevance_score	relevant	adjusted_score
senior software engineer	{'NER': [], 'ROLES': ['senior software', 'senior software engineer', 'software', 'software engineer', 'engineer']}	decent place great coworker	{'NER': [], 'ROLES': ['great']}	leadership need	{'NER': [], 'ROLES': ['leadership']}	Former Employee, More Than 1 Year	4.0	2025-02-04	Former	employee	1 - 3 year	Bolt	senior software engineer decent place great coworker leadership need employee	0.40394962	6.8575706	39.854065	0.75	0.0	1.0	0.0	0.0	0.0	0.2856355186488113	0.5	0	1.0
digital channel intern	{'NER': [('digital', 'ORG')], 'ROLES': ['digital channels intern', 'channels', 'intern']}	hybrid benefit great climate culture etc	{'NER': [], 'ROLES': ['great']}	friend remote work	{'NER': [], 'ROLES': []}	Former Employee, More Than 1 Year	5.0	2024-02-23	Former	employee	1 - 3 year	Cisco	digital channel intern hybrid benefit great climate culture etc friend remote work employee	0.5751028	18.62144	59.50724	1.0	0.0	1.0	0.0	0.0	0.0	0.4066590791251623	1.5	1	1.0
software engineering intern ii	{'NER': [], 'ROLES': ['software', 'software engineering', 'software engineering intern', 'software engineering intern ii', 'engineering', 'engineering intern', 'intern']}	largely relate remote working experience summer intern entirely remote work clear focus maintain highlevel communication likely support google crosscampus nature google manage remote work people receptive communication outside team take ping big deal	{'NER': [('summer 2020', 'DATE'), ('google', 'ORG'), ('google', 'ORG')], 'ROLES': ['interns', 'it', 'it']}	free food coffee remote working	{'NER': [], 'ROLES': []}	Former Employee, Less Than 1 Year	5.0	2021-02-01	Former	employee	<1 year	Google	software engineering intern ii largely relate remote working experience summer intern entirely remote work clear focus maintain highlevel communication likely support google crosscampus nature google manage remote work people receptive communication outside team take ping big deal free food coffee remote working employee	0.6045125	15.218361	60.811405	1.0	0.0	1.0	0.0	0.0	0.0	0.4274548271817121	1.5	1	1.0
market research intern	{'NER': [], 'ROLES': ['market research', 'market research intern', 'research', 'research intern', 'intern']}	good relationship employee like community	{'NER': [], 'ROLES': ['good', 'it']}	love experience	{'NER': [], 'ROLES': []}	Former Employee, Less Than 1 Year	4.0	2020-09-02	Former	employee	<1 year	Equity	market research intern good relationship employee like community love experience employee	0.5053047	18.345743	64.42086	0.75	0.0	1.0	0.0	0.0	0.0	0.35730432251457744	0.5	0	1.0
doctoral intern	{'NER': [], 'ROLES': ['doctoral intern', 'intern']}	researcher work like academia selfdirected smart able offer insightful facility lovely generous vacation time benefit adequate	{'NER': [], 'ROLES': ['researchers']}	con work msr work doctoral intern disappoint opportunity hire fulltime finish degree	{'NER': [], 'ROLES': ['doctoral intern', 'intern']}	Former Employee, Less Than 1 Year	5.0	2013-09-06	Former	employee	<1 year	MicroSoft	doctoral intern researcher work like academia selfdirected smart able offer insightful facility lovely generous vacation time benefit adequate con work msr work doctoral intern disappoint opportunity hire fulltime finish degree employee	0.5549772	16.040104	63.981762	1.0	0.0	1.0	0.0	0.0	0.0	0.39242809058579076	0.5	0	1.0
remote support engineer	{'NER': [], 'ROLES': ['remote support', 'remote support engineer', 'support', 'support engineer', 'engineer']}	good environment training workmanship	{'NER': [], 'ROLES': ['good', 'training']}	long sit hour relaxation hour	{'NER': [('long sitting hours', 'TIME'), ('few relaxation hours', 'TIME')], 'ROLES': []}	Internship	5.0	2017-03-09	Former	internship	<1 year	Safaricom	remote support engineer good environment training workmanship long sit hour relaxation hour internship	0.6693405	15.313817	59.97559	1.0	0.0	0.0	0.0	1.0	0.0	0.47329512332871193	1.5	1	1.0
specialist infrastructure architecture	{'NER': [], 'ROLES': ['it', 'it specialist', 'it specialist infrastructure architecture', 'specialist', 'infrastructure', 'architecture']}	remote work salary avaliation technology big opportunity	{'NER': [], 'ROLES': ['many']}	maybe country benefitie	{'NER': [], 'ROLES': []}	Current Employee, Less Than 1 Year	5.0	2017-06-08	Current	employee	<1 year	IBM	specialist infrastructure architecture remote work salary avaliation technology big opportunity maybe country benefitie employee	0.5897746	-9.393102	20.919981	1.0	0.0	1.0	0.0	0.0	0.0	0.4170335860984279	2.5	1	1.0
software developer	{'NER': [], 'ROLES': ['software', 'software developer', 'developer']}	good employee loan good medical	{'NER': [], 'ROLES': ['good', 'employee', 'good']}	flexible hour option remote	{'NER': [('no flexible hours', 'TIME')], 'ROLES': []}	Current Employee, More Than 3 Years	2.0	2023-06-16	Current	employee	>3 year	Co-Operative	software developer good employee loan good medical flexible hour option remote employee	0.50769573	16.20682	28.927673	0.25	0.0	1.0	0.0	0.0	0.0	0.35899504153921274	0.0	0	1.0
senior principal software engineer	{'NER': [], 'ROLES': ['senior principal software engineer', 'principal', 'principal software engineer', 'software', 'software engineer', 'engineer']}	fun place work good benefit	{'NER': [], 'ROLES': ['good']}	able work remote currently	{'NER': [], 'ROLES': []}	Current Employee	4.0	2021-11-29	Current	employee	default	Cisco	senior principal software engineer fun place work good benefit able work remote currently employee	0.5673363	-9.69035	19.711315	0.75	0.0	1.0	0.0	0.0	0.0	0.40116733117207803	0.5	0	0.9864955
software internship	{'NER': [], 'ROLES': ['software', 'software internship', 'internship']}	nice eg work time free time	{'NER': [], 'ROLES': []}	maybe issue place rest issue	{'NER': [], 'ROLES': []}	Former Employee, More Than 1 Year	5.0	2023-08-01	Former	employee	1 - 3 year	MicroSoft	software internship nice eg work time free time maybe issue place rest issue employee	0.543332	18.336477	61.291527	1.0	0.0	1.0	0.0	0.0	0.0	0.38419368408571564	0.5	0	0.9790168
business analyst trainee	{'NER': [], 'ROLES': ['business analyst', 'business analyst trainee', 'analyst']}	applicable	{'NER': [], 'ROLES': []}	need work remotely want office	{'NER': [], 'ROLES': []}	Current Employee	5.0	2022-02-22	Current	employee	default	Cisco	business analyst trainee applicable need work remotely want office employee	0.5596704	-10.60118	16.697487	1.0	0.0	1.0	0.0	0.0	0.0	0.39574674025386036	0.5	0	0.9731658
cloud consulting intern	{'NER': [], 'ROLES': ['cloud consulting intern', 'consulting', 'consulting intern', 'intern']}	good internal learning opportunity opportunity work interesting project outside partner	{'NER': [], 'ROLES': ['good', 'projects', 'partners']}	stagnant long period time little work remote work fun hard build connection staff	{'NER': [], 'ROLES': []}	Former Employee	4.0	2024-10-02	Former	employee	default	IBM	cloud consulting intern good internal learning opportunity opportunity work interesting project outside partner stagnant long period time little work remote work fun hard build connection staff employee	0.5727536	15.516309	67.68123	0.75	0.0	1.0	0.0	0.0	0.0	0.40499793379562454	0.5	0	0.97113985
software developer intern	{'NER': [], 'ROLES': ['software', 'software developer', 'software developer intern', 'developer', 'intern']}	remote time smart people relevant work	{'NER': [], 'ROLES': []}	little slow little disorganized little outdated	{'NER': [], 'ROLES': []}	Former Employee, Less Than 1 Year	3.0	2025-06-26	Former	employee	<1 year	IBM	software developer intern remote time smart people relevant work little slow little disorganized little outdated employee	0.56998795	18.97823	60.10574	0.5	0.0	1.0	0.0	0.0	0.0	0.40304230567086236	1.0	0	0.96645045
