epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,28.6745,0.72158,0.36709,1,0.74537,6.668e-05,6.668e-05,6.668e-05
2,50.653,0.71113,0.65823,1,0.65456,0.000135177,0.000135177,0.000135177
3,68.0696,0.63334,0.78481,1,0.53779,0.000187171,0.000187171,0.000187171
4,85.1938,0.57251,0.82278,1,0.4607,0.000222661,0.000222661,0.000222661
5,103.084,0.53679,0.82278,1,0.41393,0.000241648,0.000241648,0.000241648
6,121.713,0.46182,0.8481,1,0.36125,0.000244132,0.000244132,0.000244132
7,141.925,0.4186,0.88608,1,0.31135,0.000230113,0.000230113,0.000230113
8,158.63,0.39493,0.91139,1,0.27375,0.00019959,0.00019959,0.00019959
9,175.879,0.39658,0.91139,1,0.26082,0.000152564,0.000152564,0.000152564
10,194.825,0.28394,0.93671,1,0.22268,8.90345e-05,8.90345e-05,8.90345e-05
