Job Title,Job Rating,Time,Job Status,Pros,Cons,Company_Name
Business development representative (bdr),5.0,2024-11-02,"Current employee, more than 3 years","great team, great pay, great offices","Sales team goot toxic, bad management",Bolt
Solutions engineer,2.0,2025-06-26,"Former employee, more than 1 year",New CEO might improve things,Lack of direction and too many managers who do nothing,Bolt
Senior software engineer,4.0,2025-02-04,"Former employee, more than 1 year",Decent place and great coworkers.,Leadership needs to do more.,Bolt
Anonymous employee,4.0,2025-01-16,Current employee,Good work place and people,"Hard work, would do again",Bolt
Revenue operations analyst,3.0,2024-11-10,"Former employee, less than 1 year",An incredible culture filled with amazing individuals who foster collaboration and creativity.,"The organization has experienced frequent changes in upper management, leading to a lack of stability and direction. This uncertainty is compounded by regular layoffs that create an atmosphere of tension and insecurity among employees.",Bolt
People leader,5.0,2024-07-24,"Current employee, more than 1 year","Bolt has a big vision, bringing frictionless shopping experiences to millions of shoppers worldwide by allowing shoppers to be recognized. The people at Bolt are highly motivated and exceptional to work with.","Bolt is still a startup, and pivots are frequent. We do a lot of experimentation and are aggressively trying to find our way to scale. If this sounds a little too uncomfortable, we may recognize it may not be the best environment for every personality.",Bolt
Senior recruiter,5.0,2024-07-23,"Current employee, less than 1 year","Interviewing with Bolt consisted of 45 conversations with leaders and stakeholders I'd be working alongside on a daily basis/supporting. Interviewers were engaging and it was a very positive experience overall. Once hired, onboarding took about 12 weeks and was very organized. Had more than enough support in terms of both materials and colleagues to get up to speed on Bolt's product, culture, etc. Pay and benefits are strong  company is remotefirst, Pay is competitive at/above industry average, and benefits are in alignment with other tech companies in the space. Despite previous restructures and changes in the organization the last few years, leaders are/have been transparent about the changes, the reasons behind them, and the vision/plan for Bolt moving forward. Product is interesting and a disrupter in the ecommerce space. You'll have the opportunity to work on/support the development of a product that supports well known brands everyone knows which is cool. There have been changes in leadership recently, and as a new hire, it seems from both a company vision/GTM strategy, as well as an employee morale standpoint, they are for the better. Individual contributors and leaders alike are aligned on the vision for the company and the product moving forward and are making a concerted effort to create a culture of more communication, transparency, and openness within all aspects of the organization. Definitely a startup culture where they prioritize hiring individuals who are able to/enjoy working autonomously, are strong culture builders, optimistic, and take ownership and accountability on the work they contribute. While there are more than enough systems/processes put in place, you also will have the opportunity to create processes from scratch or iterate on them. This may not be for everyone, but if you enjoy working in a high growth/scrappy startup environment, you will likely enjoy the type of work you get to do here.","Because of the multiple changes that have been made in the last 612 months, there may be some people that may not be aligned with the new vision/strategy of the company or new leadership moving forward. That being said, leadership has made a concerted effort to address this misalignment head on and have candid conversations about the future rather than not addressing people's apprehensions. From everything I've seen, department leaders and the executive team have taken a very humanistic approach to addressing people's concerns, and you can/will be heard and seen as a valued member of the Bolt organization.",Bolt
Account manager,4.0,2024-11-03,Current employee,Salary and work environment are great,Lots of overtime and not much vacations,Bolt
Revenue operations,3.0,2024-08-21,"Former employee, more than 3 years",Great perks for both in office and remote employees Smart people with a passion to collaborate with one another,"Management was very secretive of process and what was happening. Also, leaders didn't always support their team. Layoffs several times a year.",Bolt
Software engineer,1.0,2024-09-18,"Former employee, more than 1 year",Compensation is reasonable if you are not in Bay Area,"Not a week goes by without news of some drama about financing or a lawsuit by a customer. Most of the time, we hear about it from public news rather than being transparent internally. Very difficult to focus on work, keep good talent, or even attract customers.",Bolt
Risk analyst,2.0,2024-10-01,"Current employee, more than 1 year",Flexible hours and decent pay,Upper leadership was unstable. There were may changes made to the team last minute and it can be stressful,Bolt
Ops manager,2.0,2024-10-03,Former employee,Salary is the only one,Everything besides salary is it,Bolt
Business development,5.0,2024-07-23,"Current employee, less than 1 year",New CEO with a bold vision Great teamOpportunity to solve challenging problems and tremendous potential to differentiate and create value in the ecommerce space,Things can appear to be chaotic at timesMaking progress on focus and alignment,Bolt
