Job Title,Job Rating,Time,Job Status,Pros,Cons,Company_Name
"Manager, Network Services",4.0,2015-03-13,"Former employee, more than 3 years","I decided to wait almost a year after leaving the company before posting a review.  The primary reason being is that when you decide to leave an organization it is usually because there is something there that isn't aligning with you or what you want anymore however, the grass is not always greener someplace else.  This has been my experience.  In fact, the appreciation I have for the company has grown so much in my time away that I would really like to return.

The company truly believes on promoting within and as an employee you are encouraged to grow your career within the organization and learn new skills by taking different positions.  Benefits are excellent.  Cisco is the industry leader for networking and now cloud.  It is sometimes easy to forget that on the daily grind but you are working for the company that everyone looks to for network and infrastructure standards.  Culture within the business units managing product lines give you a lot of freedom to be innovative and creative in your approach to your role.  In most cases you are given a fair amount of autonomy and control over how you do your job provided that it aligns with the strategic objectives.  Benefits, 401k match, RSUs and ESPP are amazing.  And while the salaries aren't the top of the industry, they are above market and pretty competitive.","Cisco can be a machine.  There isn't an overt demand for all of your time even the time outside of work but more of a subtle, slight encouragement to always be on.  If you are not careful, you will live, sleep and eat Cisco 24x7.  Don't get me wrong, this is 100% a choice and if you are aware of this subtlety in the culture it is very easy to set appropriate boundaries that will be respected by the company and leadership team.

If you don't like where you are in Cisco or what you are working on, give it 6 months because you will be reorg'd.  While it is sometimes necessary to realign the company to meet competitive threats or market demands, reorganizing the company once a year is excessive and tends to create a distrusting environment for the rank and file which makes being a leader in the organize challenging.  There is a loss of momentum and motivation that occurs a few months before and a few months after reorgs so this leaves the company being effective at delivery and execution only about 70% of the time.

While Cisco attracts some bright, motivated people the truth of the matter is you are either cut out for the company and its culture or you're not.  If you aren't it will be painfully obvious to you and those around you.  Sadly as a leader it is hard to cut dead weight from the team and the only really accepted way is via layoffs, which is why the company reorgs once a year despite the company line about the reorgs.",Cisco
Systems Engineer,3.0,2025-08-05,"Former employee, more than 8 years","Overall, Cisco is a good place to work. As a senior systems engineer, I had the opportunity to collaborate with many thoughtful, capable, and genuine people across teams—from engineering and test to compliance, product management, executives, manufacturing, and TAC. The company encourages technical excellence, and there are pockets of genuinely supportive leadership. That said, the experience can vary dramatically depending on your org and manager, and some managers operate with impunity despite repeated and serious concerns.","If you end up with a manager who manipulates systems and relationships—undermining direct reports, peers, and even superiors to secure promotion or survival—the only real option is to leave. Don’t expect HR, ER, or internal processes to intervene meaningfully, even when misconduct is extensively documented and corroborated by multiple witnesses. This toxic behavior often goes unpunished and actively rewarded—with visibility, advancement, incentives, and plenty of opportunities to retaliate against those who speak up.

Cisco has trimmed HR/ER and internal enforcement functions so much that the cultural messaging from the Cisco People Office feels performative and aspirational rather than reflective of groundlevel realities.",Cisco
Strategy & Planning,4.0,2025-07-08,Former employee,"Grow and learn with some genuinely smart and capable folks
Prestige of working for the market leader
Stays innovative through some great external acquisitions
Good internal tools and work resources
Overall a supportive company culture","The 'old guard' of Cisco can be quite bureaucratic and political. You will discover that more innovative/more approachable/results driven leadership comes in from external acquisitions rather than long time senior employees.

After a certain point, growth heavily hinges on somebody senior 'sponsoring' you. Ergo, high performance on its own will not open doors at the upper middle to senior manager level.

It's a big company ~80K employees. Things can get lost.",Cisco
Human Resources,3.0,2025-08-12,"Current employee, more than 3 years",People are collaborative. Nice culture.,Frequency of layoffs are destabilizing,Cisco
Solutions Engineer,4.0,2025-08-10,"Current employee, more than 5 years",Great culture for the most part. I know it mainly depends on your team but most leaders aren’t terrible.,It sense like the powers that be don’t understand advertising and public sentiment,Cisco
Program Manager,1.0,2025-05-07,"Former employee, more than 10 years","As a Programme Manager at Cisco, my role involved school visits and leading the LittleBigAwards campaign.","I made the difficult decision to leave Cisco because I wanted to work in an environment where accessibility, inclusion, and opportunities for growth were prioritised. While I appreciated many aspects of the company, the lack of true disability inclusion and the ongoing uncertainty from constant reorganisations pushed me to seek a more supportive and empowering workplace.",Cisco
Software Engineer,5.0,2025-08-04,"Current employee, more than 1 year","Cisco offers a truly flexible hybrid work environment, which makes it easier to maintain a healthy worklife balance. The team I work with is incredibly supportive, collaborative, and open to new ideas. The culture promotes learning, growth, and inclusion. Leadership is approachable and transparent. Overall, it's a positive and empowering place to work.",None so far – I've had a great experience.,Cisco
Operations Manager,4.0,2025-08-05,"Former employee, more than 10 years"," Agency to come up with the best solutions
 Great crossteam collaboration
 Talented people"," Bad leaders are left in place too long
 No path to higher roles
 Long hours
 Too many layoffs",Cisco
Data Scientist,2.0,2025-07-18,"Former employee, more than 1 year",Chill work life balance and long paternity leave if you need it.,"I felt it was a cost cutting place. 
Did not even have company sponsored team dinners and no one knows which direction to work on. Sort of like a ruder less ship.
It did not feel like a top IT place. It had a lot of very average people most of whom had only masters from only a few select colleges i.e. the ones that the seniors belonged to. Low level of tech expertise is needed and most higher level people didn't understand much advanced ML stuff. Much higher importance was given to visibility than actual innovation and being managers pet will take you a long way.",Cisco
Sr. Sales Enablement Manager,5.0,2025-08-10,"Former employee, more than 8 years","Great benefits
Flexible 
Remote ok","Hard to get promoted 
Hard to get a raise",Cisco
Regional Sales Manager,5.0,2025-08-12,"Former employee, more than 8 years","Great people, trustworthy technology and stable",Nothing that I would specifically point out,Cisco
Softwater Engineer,4.0,2025-08-08,"Current employee, more than 5 years","Good salary, most vacation days I've seen in the market, good people and no toxic work environment","Very demanding, management decisions are not always logical from developer point of view taking on a lot of work while deveopment team is understaffed",Cisco
Business Operations Analyst,5.0,2025-07-23,"Former employee, more than 10 years","Established organisation and all basic needs at its best
Work environment world class
Dream job for anyone","About Immediate Mgr
1.Hypocrisy at the core 
2.Groupism and no transparency 
3.Hardwork bears NO  fruit if you don't fall in that group
About Sr Management 
1. More focused with Team Mgr and not team members",Cisco
Technical Consulting Engineer,3.0,2025-06-25,"Current employee, more than 5 years","If you have experience and the necessary credentials, you will have plenty of work to do.","Don't expect genuine recognitions if you're a genuine and sincere hardworker. There are too many dead weights that hides behind bureaucracy and continues to move up. Once you reach a director level, you can hide and get rewarded for doing the minimum. While those that really take care of the customers are just swept under the rug. Too many silots, favortisms, and class based culture don't want to mention name of those from that country wink wink. Last and foremost, not good spending all that money on Splunk acquisition. It will be like Celsius 2.0",Cisco
Project Manager,4.0,2025-08-10,"Former employee, more than 5 years",Cooperate style with all related compensation,"too big to influence, a lot of politics",Cisco
Solution Architect,4.0,2025-08-07,Former employee,"Positive work environment with strong benefits and a focus on employee wellbeing. Additionally, Cisco is known for its global presence and commitment to social impact.","Frequent layoffs, particularly in middle and upper levels and high levels of stress.",Cisco
Senior Swe,2.0,2025-08-10,Current employee,"stable if you are ""meets the expectation""","No growth
career and technical",Cisco
Anonymous Employee,5.0,2025-08-09,Current employee,Growth opportunities and good leadership,Workload depending on team can be heavy,Cisco
Regional Implementation Coordinator,4.0,2025-08-05,"Former employee, more than 3 years","It's a job, they pay you",They will work you 24/7 for the length of your contract and then dismiss you without even a Thanks for your time.,Cisco
Senior Product Manager,5.0,2025-08-09,"Former employee, more than 8 years","Collaborative culture
Amazing Sales team",Nothing bad to report out,Cisco
Sr. Software Engineer,3.0,2025-07-07,"Former employee, more than 5 years"," Work culture is good in most BUs
 Good number of activities to socialize and volunteer during office hours
 Market competitive salary & RSU"," Competition is eating away market share, Arista in switching, Juniper in Hyperscale cloud segment because of no vision management.
 Company management & HR overly focused on projecting good image outside or social media
 No vision or direction from management, most of them are from sales doesn't understand technology
 Plenty of hierarchy through management layers.
 And yes constant layoffs because of weak, incompetent management.",Cisco
Software Development Engineer (Sde),4.0,2025-08-09,Former employee,Good company to start with,not a very good work life balance,Cisco
Sales Representative,3.0,2025-08-02,"Former employee, more than 5 years"," Great Benefits 
 Flexible Work 
 Company Vision"," Inexperienced people leaders 
 No management experience 
 Leadership makes the culture toxic 
 No career progression or personal development",Cisco
Senior Software Engineer,4.0,2025-08-07,"Current employee, more than 5 years","WLB, santana row, easy commute, good culture","too many managers, no diversity",Cisco
Finance Manager,5.0,2025-08-07,"Former employee, more than 3 years","Flexible working, crossfunctional teamwork, international teams",Worklife balance is difficult if you are a perfectionist,Cisco
Technical Writer,4.0,2025-08-07,Current employee,Great team and peaceful work environment,Slow growth and monotonous work,Cisco
Senior Power Bi Developer,4.0,2025-08-06,Current employee,"Good Culture, health insurance, mobile insurance",Growth opportunities are limited in the company,Cisco
Customer Project Manager,4.0,2025-08-04,Current employee,good benefits and vesatility during emergencies,cross functional company in which easy that people lose ownership,Cisco
Technical Program Manager,4.0,2025-05-14,"Current employee, more than 5 years","I have been at this place for 5 years and quite happy with it. So that should tell you something  but I have no new ""updates"" , Glassdoor. Give me a break. So: 

Absolutely fabulous work culture and they make sure the folks they hire fit into it. 
Great benefits. 
Good learning curve, albeit a bit slow. If you are looking for excitement, not the place for you if you are looking for satisfaction, then it is.
Great work life balance and inclusive culture  I say this as a woman","For anyone actually reading: Not many cons to Cisco, just that leadership/ management is still a bit old school and ageist in my BU AppD Observability . Good people, but you better be 35+ to be taken seriously in a leadership role, even if your talent is recognised in other ways before that.
Also, not the best YoY increment compared to contemporaries.",Cisco
Team Leader,2.0,2025-07-25,"Current employee, less than 1 year","Vacation Time Off  paid time off with no limit to how many days you can take.
Remote  no forced RTO","Unwelcoming, untrusting, disregards years of experience for new employees. People I work with are fake nice, too many meetings, slow to make decisions, decisions made on feelings and not data.",Cisco
Technical Lead,2.0,2025-03-06,"Current employee, more than 10 years","IF someone wants to move to people manager role. CISCO India is the best place to be.  people managers are desginated as  engineering managers , but when it comes  to technical cappabilties are pathetic. You just need one skill  micro management.  Have your numbers updated before higher management.","Beyond 10 years of experience. you will murder your techical carrier growth . There is now cutting edge technical work moving to india.  CISCO India Less 0.5% have any meaning ful growth.  These are the chosen onces by VP/ Director , who are given RSUs more oftern. RSUs distribution is always done in close doors and its opaque. you will not even know if a quarter has budget for that . Very few coming from external hired make a mark.

Worst thing is you will end up reporting to your buddy / colleague  or may be junior who chose to be people manager , than being in technical  not even having management degrees . No matter , the person could be technical background,  be even 50% of your capapbilities. But he is well oiled in the system .

Salaries for pure technical individual contributors can be compared by service companies once you complete 5 years of normalization.",Cisco
Software Engineer Ii,3.0,2025-07-22,"Former employee, more than 3 years","Really wonderful teammates throughout the world ofc this depends on your team, but I had a wonderful experience including manager and seniors. Work life balance was great. Everyone was very good at helping each other",Layoffs and pay low compared to the rest of the industry in US,Cisco
Network Engineer,3.0,2025-08-04,"Current employee, more than 3 years","Work Life Balance, Good Projects","Slow learning, slow promotion and hike",Cisco
Data Engineer,4.0,2025-07-29,"Current employee, more than 1 year","Great work life balance
Everyone is lovely to work with","Slow growth potential
Will have to leave what is a great place to work at for a jump is compensation",Cisco
India Technical Apprentice,5.0,2025-07-28,"Former employee, more than 1 year",It will help you with industry ready and hands on experience in networking,No cons for this job.,Cisco
Account Executive,5.0,2025-08-02,Current employee,"Supportive environment, opportunities to earn and develop","Highly competitive market, some internal friction",Cisco
Desktop Analyst,4.0,2025-08-01,"Former employee, more than 1 year","Good place to work, nice manager",No cons all were good some colleagues are jealous,Cisco
Solutions Enginner,4.0,2025-07-30,Current employee,Good benefits. Great team. Great products.,A con would be the level of disorganization is some parts of the business and massive layoffs,Cisco
Receptionist,1.0,2025-08-07,"Former employee, less than 1 year",Normal hourly pay nothing special,Very weird separated environment you won’t be respected unless you work upstairs in the offices,Cisco
Senior Account Executive,3.0,2025-03-21,"Current employee, more than 10 years","Good social security
Good pension
Company car or payout if your role demands a car","No money to take out customers to treat them anymore a 50usd per person it maximum.
Not allowed to travel if there not is an upside on a deal to do this.
No base salary increase at all
Company car have same amount of money as since 15 years back....
Only one company team event per year, kickoff in Las Vegas
You can get kicked out anyday, management by fear from top
WAY to much middle manager that just collect statistic but not contribute in any deals.....
The good rating on ""best company to work for"" is just because all i so afraid to get laid off if they say anything not inline with what the company think...

If you are a MAN, don´t apply for a work then we only quote in women, perfect candiate is a women, 25 years old with no IT history......",Cisco
Consulting Engineer,5.0,2025-07-30,"Current employee, more than 8 years","compensation, work life balance, company culture","slow growth, need to have good people network to move internally",Cisco
Cyber Security Engineer,4.0,2025-07-30,"Former employee, more than 8 years","Lots of possibilites, various technologies","Difficult to grow in your field, since you become a technology generalist.",Cisco
Account Manager,5.0,2025-07-28,"Former employee, more than 3 years",Good culture and great people I worked with. Very skilled engineers and leadership.,Sometimes difficult to progress within a role.,Cisco
Engineering Program Manager,5.0,2025-07-24,"Current employee, more than 8 years","Work life balance, as a high performer you're rewarded, at least with stock in my experience.","Lay offs, they do seem stingy with direct salary increases, though my stock awards feel generous.",Cisco
Sales,5.0,2025-07-30,"Former employee, more than 1 year",overall good and good work environment,during covid we did remote work so little internal communication,Cisco
Sales Manager,5.0,2025-07-25,"Current employee, more than 10 years","Lovely company, professional, great training, great employee care, pays well and lovely benefits.",There are none  it is truly a great company to work for if you can get in.,Cisco
Cse,4.0,2025-07-31,"Former employee, more than 3 years","leading technology, good benefit, friendly colleagues",no i can think of,Cisco
Financial Anlayst,5.0,2025-07-29,"Current employee, more than 1 year",big company so hard to work your way up,great work life balance and mental health!,Cisco
Software Engineer Ii In Test,5.0,2025-07-30,Former employee,work life balance at cisco,nothing to be mentioned at cisco,Cisco
Senior Account Manager,4.0,2025-07-30,"Former employee, more than 1 year","Nice culture, good people, good perks",None that i can think of,Cisco
Sre Trainee,3.0,2025-07-19,"Current employee, less than 1 year","Slow work
Good pay 
Good campus",Everything is conn right from managers leaders all do nothing just rakes pto and comp off and blah make appreciate work and give high pay to interns who literally do nothing,Cisco
Director,4.0,2025-07-31,"Current employee, more than 10 years","Work/Life balance
Recognition
Good pay","Large company 
Difficult to move up",Cisco
