Job Title,Job Rating,Time,Job Status,Pros,Cons,Company_Name
Anonymous employee,4.0,2025-05-28,Current employee,Comprehensive Medical CoverPensionLoan facilities at a competitive rate,Some targets set are not smartLoan options not flexible,Co-Operative
Business development executive manager,4.0,2024-02-27,Current employee,"Good salary, salary increment every year.Different types of loans available to staff.",Long working hours with only few days of leave,Co-Operative
Operations manager,4.0,2024-03-05,Current employee,Offers a challenging working environment for those in operations,Slow growth and too engaging,Co-Operative
Support,3.0,2017-07-09,Former employee,"Good pay,  on the job training , exposure to a variety of systems, leave days","workload, low upward career  mobility, can hit the ceiling in pay raise after a reaching a certain level",Co-Operative
Legal officer,3.0,2021-01-16,"Current employee, more than 1 year",Broad commercial legal experienceGood benefits like insurance and bonuses,"Fixed culture mindset, government like",Co-Operative
Underwriter,2.0,2025-08-10,"Former employee, more than 5 years",Feels like family in a lot of ways,Very challenging to grow at the company,Co-Operative
Project manager,3.0,2025-08-07,"Current employee, more than 3 years", Excellent credit facilities for staff Numerous internal opportunities for lateral growth, Rigid in terms of adoption of solutions Challenging organizational culture,Co-Operative
Small business banker,4.0,2025-07-24,"Former employee, more than 8 years",Offer good salary packages for borth entry grades and expert grades,Bonuses are not commensurate to companies earnings,Co-Operative
Business analyst/business development,5.0,2025-06-06,"Former employee, more than 10 years","1. Open door policies, great management and worklife balance: depending on the department, 2.Great HR support including staff wellness programs, and opportunities for personal growth.3. Available opportunities for career growth.4. Benefits such as medical cover, insurance cover, annual bonuses based on performanceand grade, pensionable pay.5. The greatest CEO.","1. There are variations in management and leadership skills including communication, support and opportunities depending on the department.2. Annual salary reviews would be slow depending on staff grades.",Co-Operative
Atm manager,4.0,2025-07-05,"Former employee, less than 1 year",Good communication among team members Efficient handling of tasksTeam building activities,Working under pressure since you are expected to meet your targets.,Co-Operative
Business analyst,5.0,2025-04-21,"Current employee, more than 10 years",Very good at training its staff with requisite courses,The upskilling may not come witha salary increment,Co-Operative
Relationship banker,5.0,2025-04-08,"Current employee, more than 1 year","Great employer, great learning curve and exposure to the financial  sector.",No cons with the current structure.,Co-Operative
Contact center representative,3.0,2025-04-11,"Current employee, more than 8 years","Flexible working hours , medical cover & yearly bonus",Nepotism and favoirism and unfair appraisals,Co-Operative
Business banker,4.0,2025-03-10,"Former employee, more than 5 years",good employer with good salary,not seen any cons on employment,Co-Operative
Finance manager,4.0,2025-02-20,"Former employee, more than 5 years","Secure, pays well and good package","Internal audit, leave over weekend will take 0.5 days",Co-Operative
Ops manager,5.0,2025-02-11,"Former employee, more than 1 year",Good benefits salary and job security,Clearly defined growth prospects for all levels.,Co-Operative
Client service representative,3.0,2025-02-19,Current employee,The staff are well trained,Huge company not easy to grow,Co-Operative
Data analyst,5.0,2025-02-12,"Former employee, more than 3 years",Great organization to work for,Management are like non touchables,Co-Operative
