Job Title,Job Rating,Time,Job Status,Pros,Cons,Company_Name
Anonymous Employee,5.0,2025-08-12,"Current employee, more than 3 years","Empathetic leadership and an inspiring, organizationwide commitment to improvement.","When role boundaries are unclear, you may be required to handle work outside your expertise—an especially daunting prospect when critical issues demand immediate attention.",IBM
Advisory Engineer,4.0,2014-08-26,"Current employee, more than 8 years","Disclaimer: A lot of what I'm writing below of course depends on the work area and management chain.  But I found this to be fairly pervasive policies in IBM in my 9+ years with the company.  1. IBM's policies and management are very flexible when it comes to working remotely or accommodating various life situations sick days, doctor visits, etc..  Management is encouraged to measure an employee by their work and impact, and not by hours spent at their office.  2. Great colleagues!  Though unfortunately, many have been leaving due to the instability of IBM's HW development business.  3. At least in my area, there's a high level of flexibility on which projects should I undertake based on my and my management assessment of business impact.","1. Unfortunately, IBM still uses the ""normal distribution"" rating system, where at the end of the year each employee is ranked as a top contributor 5%, above average contributor 15%, average contributor ~75%, and bottom contributor 5%.  This curve is difficult to apply in the R&D world, where you may have many members of the team working long and hard hours, and end up being ""average contributors"" at the end of the year, because there just isn't room for all to be top contributors.   2. The above may not be so disturbing, if only IBM didn't practically cancelled all raises, performance bonuses and incentive for the non topperformers. I've had a consistent ""above average"" rating in the last 45 years, and my raise and performance bonus were ridiculous mere 1.52% of my salary.  Were I rated ""average contributor"" I would have gotten NOTHING. So you can imagine that people can go year after year without any raise to their salary.  From talking to manager friend, this is IBM's way to eliminate the nontopperformers without having to fire them, as part of its direction of reducing US manpower.   3. Hiring freeze in many areas  again, as part of IBM's attempt to reduce its workforce across North America and Europe we see many jobs move to the India and Far East markets.  This is of course upsetting to see local teams shrink and disappear, especially when many great local IBM colleagues and experts begin to drop out. From my experience thus far working with India SW teams  they are still very far away from the standards I would have expected from US and Europe based teams.   4. Poor top down communication about company's and divisions' future.  Employees learn from rumors and news websites what's about to come...",IBM
Ibm Cloud Sales,4.0,2025-08-07,"Former employee, more than 3 years","I have truly enjoyed my time working at IBM, especially the training opportunities and benefits provided. It’s a company that invests in its employees and offers great development programs.","Recently, I’ve observed some changes in how roles and compensation are handled. Some senior leaders have been reassigned to lower roles, and there have been salary adjustments, including reductions for those with extensive experience.   For someone motivated by promotion and salary growth, IBM might not currently be the best place, as the company seems to be focusing on hiring younger talent at lower salaries, while experienced employees are experiencing cuts. Nonetheless, IBM remains a respected company with many strengths, but it's important to be aware of these recent changes.",IBM
Customer Success Manager - Architect,3.0,2025-06-16,"Former employee, more than 5 years","Exceptional pay and benefits. Great people, great customers."," Heavy organizational ""tech debt"" drives down efficiency and job satisfaction.   Customer Success is not truly customer success  it's an organization created as a reaction to an inability to deploy products from Enterprise License Agreements. The primary mission of CS at IBM is to identify use cases, sponsors, budget, and gain commitment to deploy software from ELAs. Those are PREsale activities, not POSTsale CS activities. Just because an ELA was sold does not mean things are actually postsale. An ELA is just a contract vehicle to buy something in the future, a gift card sold at a discount, all the normal sales activities still need to happen.   Sr. team members are being let go in favor of inexpensive, inexperienced new hires.",IBM
Application Developer 2,4.0,2025-06-11,"Current employee, more than 1 year","Out the gate, IBM educational material teaches you all about how to be an impactful player as part of an active tech business. You will have reviews of updated material on how to conduct business with others professionally. On a monthly basis you'll have access to Csuite thought leadership statements and chats, and I have even participated in chats where the CEO of the company will voice his opinion on the goings on in tech news as it relates to IBM.  The location selected is a location in WV nearby to where I am employed, as my actual location was not selectable among provided Glassdoor options.","IBM is a big business, and sometimes promotion can seem years away from actualizing due to the changing structure of the company in the big tech boom times we are in. As a young player myself, the desire to selfeducate and become more productive with practice and experimentation can sometimes compete with the need to deliver products on a team. I think the company makes it hard sometimes to balance the two, and when you have to do both, you have to work a heavy load of hours to accomplish it all.",IBM
Progammer,3.0,2025-06-25,"Current employee, more than 8 years","You will get experience working in multiple fields   You will build up tech experience as well as soft skills. This is a good place to start if you do not have better offers, right off the college especially if you are local or you don't have much experience in IT and you want to have a recognizable name on your resume   Opportunities for training like Udemy business accounts as well as certifications. IBM proper also have a load of training.   Decent worklife balance if you have a project.   Hybrid model is good at CIC. Three days are required at office as long as you have a project.","Very hard to get promoted   The consulting sector is very chaotic at IBM.   Expectations are not always clear.   Project Leadership is lacking too often on multiple projects.   Pays lower than most other IT companies.  Whatever you do, if you work at a CIC at IBM, you have to get off the bench as fast as possible, however you will have to fight for work compared to another company where they will give you work.",IBM
Data Scientist,5.0,2025-08-07,"Current employee, more than 1 year","Plenty to learn, plenty of support, plenty of resources. If you want to improve, the team is very supportive and wants you to succeed.","You need to have initiative to advance, and want to excel. It is difficult, and you need to want to be a lifelong learner. Otherwise, you will fall behind. There are always new skills to develop, especially with different clients and the evolving AI landscape.",IBM
Consultant,2.0,2025-08-07,"Former employee, more than 1 year",Decent work life balance Remote work for consulting at the moment,Revenue is being driven by outsourcing labor to india so that leadership can keep their hefty paychecks while the lower class get laid off. IBM consulting consistently posts <2% rev growth per year. This is not a place you want to invest in unless it is your only option.  Early career consultants  stay away.,IBM
Software Developer,5.0,2025-07-08,"Current employee, more than 1 year","• Excellent team dynamics with knowledgeable colleagues who are eager to help and mentor new hires • Strong learning opportunities through programs like Developer Jumpstart and handson complex projects • Autonomy and trust  no micromanagement, allowing developers to work independently • Comprehensive development process from research to deployment with proper testing protocols • Opportunity to work on challenging, missioncritical systems that build strong technical foundations • Recognition for good work through equity awards and peer appreciation","• Steep learning curve due to heavy reliance on proprietary technologies that aren't transferable • Poor documentation organization makes problemsolving timeconsuming and frustrating • Limited ability to use modern tools and frameworks due to legacy system constraints • Difficult to find solutions online since most tech stack is IBMspecific rather than industrystandard • Fastpaced environment can be overwhelming initially, especially for new developers",IBM
Ux Researcher,3.0,2025-07-30,"Former employee, more than 5 years","Work life balance, my fellow designers 903, creating impactful products sometimes.",They're slow to promote & often hire from outside the company.,IBM
Project Coordinator,2.0,2025-08-11,"Current employee, more than 3 years",Good benefits for early families,Getting a single thing done takes over a month and 10+ stages of approvals. I month I swear they add another step to any singular internal process.,IBM
Account Manager,3.0,2025-07-29,"Former employee, more than 3 years",My company was acquired by IBM. The first year the commission potential was great.,"After the first year, earning potential dwindles. If you like a really big org, it's good  lots of support, prof development, etc. But coming from a small company it was culture shock  felt like I was required to have 8 other IBM people in all my client meetings  crazy.",IBM
Technical Sales Engineer,4.0,2025-07-19,"Current employee, less than 1 year",Most trainings I’ve ever got at a company. Amazing training program and pay.,"You need to work x2 to close deals technically compared to other hyper scalers like Azure, GCP",IBM
Brand Technical Specialist,3.0,2025-08-07,"Current employee, more than 3 years",High Salary Tons of Job Opportunities Can Easily access Development teams,Constant Corporate restructuring VPs are out of touch with reality of what works They will replace you with less qualified personnel in a heartbeat,IBM
Learning And Development,3.0,2025-07-30,"Former employee, more than 10 years",Great opportunities to learn and grow in your skills. I worked with many fabulous colleagues over the years.,"Was very difficult to get any pay raises, even with top performance reviews. There were not a lot folks hired in the U.S since mid 2010's unless they were straight out of college.",IBM
Senior Managing Consultant,4.0,2025-08-06,Former employee,Lots of autonomy for people who want to be entrepreneurial and grow skills,"Too many smoke and mirrors on the consulting side, makes you wonder what you’re even doing there",IBM
Recruiting Specialist,3.0,2025-07-28,"Former employee, more than 3 years",Great technology; nice people; excellent benefits and good compensation,They make it really hard to hire someone because of all the steps you have to go through  good candidates will take another offer because they're tired of waiting for IBM to go through the process.,IBM
Sr. Security Analyst,4.0,2025-07-23,"Former employee, more than 3 years","Very professional, straightforward, clear job responsibilities, room for growth if you know the right people.","Large company where you are assigned a serial number and if the bottom line doesn't add up, there is no meritbased retention scheme.",IBM
Information Technology,5.0,2025-08-07,"Current employee, more than 1 year",Great work environment. Excellent leadership and company culture.,Nothing at all to complain about.,IBM
Software Development Manager,4.0,2025-08-08,"Current employee, less than 1 year",Stable environment with lot of tenured people.,Salary and bonuses are on the lower end of the spectrum,IBM
Technical Content Specialist,4.0,2025-08-09,Former employee,Benefits and pay are great,Work life balance is tough,IBM
Senior Ux Designer,3.0,2025-08-07,"Former employee, more than 5 years",Very nice people to work with,CEO is sending jobs to India,IBM
Advisory Software Engineer (Band 8),5.0,2025-08-07,Current employee,Flexible work culture and lots of opportunities to grow,Bureaucracy and slow moving for certain things,IBM
Manager,2.0,2025-07-29,"Former employee, more than 10 years",If you build a good network moving from one project to another is easy.,"Once your salary is fixed, your are neglible unless you are promoted, otherwise you stay 10 or 15 years does not matter your salary is almost same as where you started.",IBM
Cyber Security Analyst,5.0,2025-08-01,Current employee,I honeslty dont have any experience with them but i am looking forward to take their cybersecurity programs and work with them in the future,the biggest con is that they are too perfect,IBM
Managing Consultant,4.0,2025-08-07,Current employee,Good experience working here at IBM,Mostly Not many cons compared to pros,IBM
Application Developer,2.0,2025-08-08,"Former employee, more than 3 years",They give you time to train and learn,The salary is very low,IBM
Associate Director,5.0,2025-08-06,"Current employee, more than 8 years",You'll get to direct widgets,"IF you don't like directing widgets, you won't like it here.",IBM
Customer Deductions Analyst,3.0,2025-08-06,"Former employee, more than 10 years",remote flexible work schedule great insurance not micromanaged good management,pay outsourcing work internationallyleading to layoffs,IBM
Technical Writer,2.0,2025-07-26,"Former employee, more than 3 years",The pay for Content is okay.,"Constant layoffs, poor communication, no bonuses, no raises, management makes very ill advised decisions, leading to more layoffs, there's no care for employees, their BRG system is a joke. IBM is running on vibes and fumes, a dying company that refuses to face the truth.",IBM
Senior Consultant,1.0,2025-08-06,"Former employee, more than 8 years",Can't think of any positives.,"They buy companies, and then force the acquired employees to the bench.  They are then forced to find their own next project.  If you don't find a project in a couple of months, your laid off.",IBM
Strategist,4.0,2025-08-03,Current employee,"Great culture, leadership is very handson, helpful team and great experience",While there is room for growth it is limited by opportunities available,IBM
Hpc Engineer,5.0,2025-08-06,Current employee,"good work life ,balance, good pay",no growth to learn high technologies,IBM
Logic Design Engineer,3.0,2025-07-28,"Former employee, more than 3 years",The work they have is good and will keep you learning.,There isnt much they can offer to you in terms of amenities and the ones they do offer are meh.,IBM
Innovation Designer,4.0,2025-07-31,"Current employee, more than 1 year","Exciting, fastpaced, never boring, challenging, good work life balance.","Lots of travel, need to drive or find a ride when traveling, many projects at one time, not a lot of traditional UX/UI design.",IBM
Software Engineer,4.0,2025-08-05,"Current employee, more than 1 year",not bad working are positive . life balance are good,way lower than my expectation,IBM
Digital Marketer,4.0,2025-07-20,"Former employee, more than 1 year",Good worklife balance can only speak for my specific team Decent management Decent onboarding process Lots of educational tools/resources Few technical skills required in marketing Early Professional Hire program is welcoming and helpful Salary was great for my industry/experience level,Very little job security lots of layoffs Can be unstructured and disorganized Office politics/drama but that's really with any company,IBM
Senior Software Engineer,4.0,2025-08-02,"Former employee, more than 10 years",IBM Software was a great place to work.,Leadership has lost compassion for the employees.,IBM
Senior Devops Engineer,5.0,2025-08-02,"Current employee, more than 3 years","Friendly coworkers, great leadership, awesome food",Sometimes there is just a bit too much stuff to do,IBM
Client Partner,2.0,2025-08-04,"Former employee, more than 10 years",there is nothing as such for Pros,Organization should respect the professional contributers rather than politics,IBM
Client Growth Executive,4.0,2025-07-17,"Current employee, more than 5 years",Networking internally gives you the opportunity to find where you fit at the company and attach yourself to likeminded team members.,Finding your lane for long term career success isn't the easiest given the size of company.,IBM
Sales Representative,2.0,2025-08-04,Former employee,Name of company is good,People are good and friendly,IBM
Design Manager,2.0,2025-06-24,"Current employee, more than 5 years",There was a time that I was able to work on innovative projects and highly collaborative multidisciplinary teams. I collaborated with folks all over the globe. The people were the best part of the work.,"The company seemed to constantly shift priorities. Since Ginni Rometty left, design, user experience, and design research has been increasingly devalued. Much of my work never saw the light of day. Higher ups are more concerned with sales numbers than design quality and meeting actual user needs. I had managers that didn't really seem to value work/life balance. I left in a state of complete burnout and demoralization.",IBM
Business Analyst,5.0,2025-07-25,"Current employee, more than 5 years",Great place to work. One of the best work life balances I've had,No cons except the downsides of a fortune 500 that pretty much mimics whatever the market trend/cultural trends are which makes some interactions feel less human.,IBM
Associate Partner,3.0,2025-07-27,"Current employee, more than 3 years","Flexibility, work life balance, training.","Non realistic goals and expectations, can’t keep up with who’s coming and going.",IBM
Administrative,4.0,2025-07-29,"Former employee, more than 10 years",lots of opportunities for people involved in sales or technology especially AI,"not many opportunities for operations, administrative work etc",IBM
Financial Analyst,4.0,2025-07-28,"Current employee, more than 1 year",I love the willingness that everyone has to help everyone succeed,The coop or internship where you get placed really matters,IBM
Associate Software Engineer,5.0,2025-08-02,"Former employee, more than 3 years",Process oriented and Flexibility at work,Hard to get in IBM,IBM
Product Manager,4.0,2025-07-30,Current employee,"Smart people, interesting work, room for growth","Big, slow machine, lots of bureaucracy and frequent management changes",IBM
Content Strategist,3.0,2025-07-05,Former employee, great work life balance   Coworkers are amazing and make you inspired to work harder  PTO is standard   Benefits are good," annual layoffs in spring that put a lot of pressure on employees as some of the best performers would be cut due to ""redundancies"" but pushed hiring to India   promotion is rare once you get to a certain level.",IBM
Qa Engineer,5.0,2025-07-29,Former employee,Great place to work Fun team,Not many cons to name,IBM
Incident Response Analyst,4.0,2025-07-29,"Former employee, more than 3 years",Great place to work and learn.,Remote work not available as before.,IBM
Software Development Engineer (Sde),5.0,2025-07-25,"Former employee, more than 1 year",I love the people and the worklife balance at IBM,Learning curve is not so steep here,IBM
Program Manager,3.0,2025-07-15,"Current employee, more than 8 years",Professional and respectful peers; generally knowledgeable and helpful,"Pay does not keep up with inflation, variable compensation is nonexistent, continual mass reshoring of jobs to India & South America.",IBM
Accounting Analyst,5.0,2025-07-28,Current employee,Love it here stay a while,"Far commute, no one wants to live there",IBM
Attorney,3.0,2025-07-28,Current employee,Wonderful place to learn and grow.,Mobility and transparency could improve more.,IBM
Senior Account Manager,3.0,2025-07-16,"Current employee, more than 5 years",Name recognition that everyone in the IT world knows,1. It is pretty much Indian company now. 2. Constant US layiff and low morale,IBM
"Associate Consultant, Erp",4.0,2024-12-09,"Former employee, more than 1 year","Phenomenal work environment with great coworkers and management that really appreciates workers and gets invested in their career growth. Consulting projects provide adequate challenge, and the office usually has lots of fun team building and free food going on. Worklife balance is also great and my team was very flexible with the hybrid schedule as long as the work was completed and satisfactory. Additionally, the focus on continuing education and the resources available are unparalleled.","Career progress can be dependent on what projects are available. Management has an enormous effect on morale and while I was fortunate to be on a phenomenal team it often seemed like many of my peers on other teams did not have the same experience. Pay appears to be below average as lots of staff leave for outside opportunities or get hired by their clients. I’ve seen some people attain competitive pay, but it seems to have a fair bit to do with being in the right place at the right time. Bonuses are very rare, and retirement benefits received a devastating cut while I was there. CIC employees did not receive the GDP bonus that was supposedly for all fulltime employees of IBM.",IBM
Sales,4.0,2025-07-21,"Current employee, more than 5 years","High base, good wlb and people, high trust",too many mid level managers  competing incentives where sales groups compete with each other,IBM
Data Engineer,1.0,2025-08-05,Current employee,"nothing positive. bad management, nothing to be proud",bad benefits. work long hours,IBM
Director,5.0,2025-06-05,"Former employee, more than 5 years","IBM was a great company to work for.  I appreciated the legacy of the company and the ability to continuously reinvent itself.  I worked with brilliant people, who had an uncanny ability to rally together and achieve the impossible.  I feel fortunate to have worked at IBM.","It was often difficult to get things done due to the complexity of the organization and the inherent politics in a company of this size.  To an extent, this exists in all large organizations so this is not unique to IBM.  The return to office policies caused many talented colleagues to leave, this was/is unfortunate.",IBM
Data Analyst,3.0,2025-07-23,Former employee,Lots of opportunities for growth and education,"This is decided my your manager, and that differs widely",IBM
Recruitment Analyst,5.0,2025-07-21,Current employee,Enterprise grade systems and scale,complex hiring processes in the system,IBM
Principal Solutions Architect,3.0,2025-07-23,Current employee,A lot of training are provided. Good for early professional hire.,Limited growth opportunity for senior professionals.,IBM
Sr Managing Consultant,1.0,2025-07-30,"Former employee, more than 5 years","Great teams, wonderful individuals, interesting work","No understanding of where consulting is going, terrible leadership, poor communication, no mobility, lack of investment in talent, terrible treatment of employees",IBM
Research Scientist Intern,5.0,2025-07-21,"Current employee, less than 1 year",1. Good pay 2. Very strong research team,"The food is a bit bland, and can be better",IBM
Software Sales Leader,5.0,2025-07-21,"Current employee, more than 10 years",", great people, good career paths",I do not know at all,IBM
Qa Test Developer,3.0,2025-04-21,"Former employee, more than 8 years"," Good work/life balance for now, it's starting to change  LGBTQ+ friendly, lots of diverse business resource groups.  Pension plan RBA with 5% contribution of salary courtesy of the company"," Cutting more and more benefits each year.  Cut 401k contributions and switched to RBA pension plan that has slower growth rate and no ways to control investment.   Pushing high velocity software delivery and abandoning any quality metrics.  Micromanaging: values performance solely on GitHub commits and Jira bugs resolution rate.  Requirement from management to mark 15% of workforce as low performance. This affects their salary conversations and blocks them from raises and bonuses. It also makes you compete against coworkers rather than work together.  Raises usually only come from promotions. Typically little to no cost of living raises.  Changes internal tools every one or two years, makes it difficult to do work.",IBM
Technician,3.0,2025-07-14,Former employee,Lots of experiences with newer technology.,Frequent lay offs cause stress. Very little growth and under market pay. Probation period far to long.,IBM
Sr. Project Manager,4.0,2025-06-23,"Current employee, more than 10 years","Pay, commissions, cutting edge technology, great people, smart people, very little social pressure, work/life balance.","lot of workforce rebalancing, sales targets can get unrealistic, new products or solutions get traction and then they divest, big ship can be hard to turn",IBM
Software Engineer Consultant,4.0,2025-06-24,"Current employee, more than 3 years","People are wonderful, managers are decent.",but there is a lack of people that are actually smart and want to teach you. Attach that to project finding is like applying for a real job every single time and projects can be from 6 months to 5 years long. Then if you sit on the bench too long you're fired. lack of movement,IBM
Procurement Specialist,2.0,2025-06-25,"Current employee, more than 8 years",the co workers are great to be around and it is a good reminder of how important it is to work with hard working and supportive teams,senior leadership. the new CPO is not creating an inclusive or empowering culture. red tape everywhere. does not trust her team. does not approve urgent things. created a very toxic environment and it is hard to be around.,IBM
Technical Support Engineer,5.0,2025-02-06,"Current employee, more than 3 years","Global Exposure: IBM’s international presence offers the chance to collaborate with diverse teams across the globe and work on projects with a significant impact. Continuous Learning: The company provides excellent training programs and resources, encouraging employees to develop new skills and stay updated with the latest technologies. Stability & Benefits: As a longestablished leader in the tech industry, IBM offers competitive salaries, comprehensive benefits, and solid career growth opportunities. Innovative Environment: There is a strong focus on research and innovation, allowing you to work with cuttingedge technologies and contribute to groundbreaking projects.","Bureaucracy: Due to its large size, decisionmaking can sometimes be slow, and navigating through layers of management may be challenging. WorkLife Balance: Depending on your role, the workload can be demanding, occasionally affecting worklife balance, especially during highpressure projects. Resistance to Rapid Change: Being a mature organization, IBM may sometimes be slower to adopt new ideas or agile processes compared to smaller, more nimble companies. Rigid Processes: For some, the structured corporate environment can feel limiting, with established procedures that might not allow for as much creativity or flexibility. Overall, IBM is an attractive employer for professionals seeking stability, growth, and the chance to work on innovative projects in a global setting. However, it’s important to be prepared for the challenges that come with working in a large, wellestablished corporation.",IBM
Project Manager,5.0,2025-07-17,Current employee,Benefits are awesome and money is good too,Living on a contract can be stressful,IBM
Head Of External Communications,5.0,2025-06-05,"Current employee, more than 5 years"," Opportunity to be part of a major transformation  Clear sense of purpose and renewed momentum  Chance to solve meaningful, highimpact challenges  Focus on innovation and continuous improvement  Fastpaced environment that accelerates growth  Ability to make a visible, lasting impact  Collaborative and resilient team culture  Excitement of contributing to a successful comeback", Uncertainty at points   Fastpaced changes can feel overwhelming  Shifting priorities may lead to unclear goals  Resource constraints during the transition  Processes and systems may sometimes be in flux  Higher workload as teams rebuild and adapt,IBM
Quality Assurance Engineer,4.0,2025-07-17,"Current employee, more than 3 years",Stable reliable work and engaging projects,Can be in a bit of a silo at times,IBM
Backend Developer,4.0,2025-07-18,"Current employee, more than 1 year",chill Worklife balance and hybrid office work culture,"no RSUs, very less growth profit sharing",IBM
Senior Qa Engineer,2.0,2025-07-16,"Former employee, more than 5 years","Overall pretty good benefits such as health, vision, dental.",No matching 401k. Severe micromanagement. Zero work/life balance.,IBM
Client Executive,4.0,2025-04-24,"Current employee, more than 5 years","The vast majority of employees are extremely friendly and helpful, sometimes finding the right one can be challenging. The company culture is great and you do get stock options.","We've let a lot of really good people go due to cost cutting  executive management is very focused on our stock price. While I understand the need to pay shareholders, we let go some key people that help us drive revenue.  Also, it seems every 2 years we do a massive restructure so you never know if your role will be the same or even exist.",IBM
Research Staff Member,2.0,2025-05-14,Former employee,"Working at IBM had both positives and drawbacks. The company offers solid brand recognition and a wide range of technical domains, which can be helpful early in a career. There's access to largescale infrastructure and a broad talent pool, and many projects are technically interesting on paper.  Career advancement is limited unless you're in a strategic group or part of longstanding internal networks.","However, bureaucracy is a consistent issue. Decisionmaking can be slow, and internal processes often feel outdated. Innovation exists, but navigating corporate layers to get anything meaningful implemented is challenging.",IBM
Industrial Engineer,3.0,2025-07-15,"Former employee, more than 3 years",Good Pay Decent work autonomy,Competing priorities from management while gaslighting employees to do more.,IBM
Ai Engineer,5.0,2025-07-18,"Current employee, more than 5 years",It's great place to work.,Not that I’m aware of,IBM
Senior Digital Content Strategist,4.0,2025-07-11,"Former employee, more than 10 years","Great people, opportunities to move around in the company, reasonably competitive benefits.",Job security and remote work policies are a challenge,IBM
Data Center Technician,5.0,2025-07-13,Current employee, Real world experience  Networking Opportunities  Better Career Clarity, Limited Flexibility  EntryLevel Tasks,IBM
Windows Systems Engineer,5.0,2025-05-23,"Former employee, more than 8 years","I spent several years at IBM and had the opportunity to work on largescale, missioncritical infrastructure supporting top high profile clients. I was given real ownership over systems that mattered, and the trust to lead recovery, automation, and modernization efforts.   The environment was fastpaced but supportive, and I worked alongside smart, capable engineers who genuinely cared about doing things right. It's a place where you can grow if you're willing to step up.","RTO Mandate, but that's it, I very much enjoyed working here for almost 8 years, it had a majorly positive impact on my life from start to finish.",IBM
Senior Software Developer,2.0,2025-03-12,"Former employee, more than 3 years",Ability to work remote. Friendly coworkers.,Most managers were actively doing things to demoralize workers. Seems that the people most likely to be hired as managers are the coldest and least friendly.  Some were outright rude. Workers were pressured not to take vacations or punished for taking earned vacations! This isn't just my opinion. Several coworkers agreed with me.  Most jobs are being outsourced to India or replaced with AI. The idea that this is a US company is wrong. The vast majority of employees now work in India. There's a token number of workers in the US. Of course they look for any excuse to send your job to India without admitting that's their goal. One high level guy who had around dozens and dozens of managers and three levels of management below him happened to be Indian. After I left the company I discovered his work experience consisted solely of being a lecturer without a technical degree for 6 years and then he was somehow promoted high into IBM management and was telling technical people what to do. Curious.,IBM
