Job Title,Job Rating,Time,Job Status,Pros,Cons,Company_Name
Certified nursing assistant cna,1.0,2024-03-12,Current employee,No home life no insurance,Bad management mandatory overtime every shift,KCB
Cyber security analyst,5.0,2025-07-23,"Current employee, more than 1 year","good work life balance and good insurance , holiday and mortgage bonuses",few commissions which come once a year,KCB
Bank officer,5.0,2025-07-28,"Current employee, more than 3 years",Nice renumerationOpportunity for growth,Long working hoursMean mgt,KCB
Finacial analyst,5.0,2025-07-14,"Current employee, more than 1 year",Strong leadership and corporate culture.Multiple learning and growth opportunities.Inclusive and innovative mindset.,Heavy workload in some departments.Communication gaps between branches and HQ.,KCB
Finance executive,5.0,2025-07-16,"Former employee, less than 1 year",remote work optionadvance systemtransparent communication from leadershipencouragement of innovation and ideas,long working hourshigh work loadpoor work life balance,KCB
Senior risk management analyst,5.0,2025-07-13,"Current employee, more than 3 years",Good bonusesMedicalVery open staff,Prayers before meetings. Very strange for non Christians.,KCB
Bancassurance officer,5.0,2025-06-23,"Former employee, more than 3 years",Great working environment and teamwork,Culture change from management and teamwork,KCB
Anonymous employee,4.0,2025-06-01,"Former employee, less than 1 year",Inclusive of employees Good payFriendly environment,Intense environment in terms of deadlines and assigned roles,KCB
Direct sales representative,4.0,2025-05-20,"Former employee, less than 1 year",get paid for your effort,purely commission based no retainer,KCB
Transition specialist,3.0,2025-05-08,Former employee,Great for learning as junior,Limited growth career path in IT,KCB
Application security specialist,4.0,2025-01-20,"Current employee, more than 3 years","Tightknit team that works well together for the most part. Senior managers are cool, very down to earth and ready to assist even if you don't directly report to them. If you want stability with a governmentbacked institution, KCB is your goto choice. Loans are awesomely priced at low interest for employees.","Procurement could use some speed in terms of how long it takes to get tools, services, etc onboarded. Pay is ok. Benefits are ok as well.",KCB
Intern,3.0,2025-02-25,"Former employee, less than 1 year",Learn the intricacies of the banking industry,"Sometimes I felt underemployed, and the department I was interning at had peak seasons and low seasons",KCB
Direct sales representative (dsr),3.0,2025-03-18,"Former employee, more than 1 year","Friendly colleagues, good benefits overall","Unreasonable sales target, too much pressure",KCB
Data analyst,5.0,2025-01-25,"Current employee, more than 1 year",Friendly work Environment from management to colleagues,"Long working hours, requires proper time management.",KCB
Bank teller,5.0,2025-01-26,"Former employee, more than 1 year",Conducive environment for both workers and customers,Sometimes you work till late,KCB
Ict administrator,5.0,2025-01-22,"Former employee, more than 1 year",Good Salary paid every month,bureaucracy at top management level,KCB
Direst sales representative,4.0,2024-11-12,"Former employee, more than 3 years",I want to able to build the brand image of Kenya Commercial Bank,Not being that competitive with other banking industries,KCB
Marketing director,4.0,2024-11-15,"Current employee, more than 1 year",Enthusiastic team to work with good targets,Targets can at times be quite high,KCB
Accountant,5.0,2024-11-21,"Former employee, more than 1 year",Favorable working environmentInteractions at workplace,Misunderstandings with junior staffTight deadlines,KCB
Solutions architect,5.0,2024-11-01,"Former employee, more than 1 year",great work life balance and culture,too many formalities in projects,KCB
Banker,5.0,2024-10-03,"Current employee, more than 3 years","Best employer in Kenya, with best insurance covers and employee relationsCareer growth is guaranteed",Generally in banking you 'll never have enough time to concentrate on much outside work,KCB
Marketing,3.0,2024-10-02,"Current employee, more than 1 year",Good work environment and lovely,None at the moment. Just new,KCB
It support technician,4.0,2024-09-30,"Current employee, more than 1 year",The workplace has great cultureComparable compensation,No cons at the moment,KCB
Customer service representative,4.0,2024-09-23,Former employee,"good work environment, location wise",long working hours on a shift,KCB
Branch manager,4.0,2024-08-28,Current employee,Very nice work environment. Welcoming and easy to be productive,Lack of accountability by higher level staff,KCB
It technical support specialist,5.0,2024-08-11,Former employee,Great working office environment for staff,none that i can think of,KCB
App developer,4.0,2024-07-19,"Former employee, more than 5 years",Enjoyed my time there. Good employer,If you don't like corporate politics then ain't a good place for you.,KCB
Sales representative,3.0,2024-06-22,"Former employee, less than 1 year",It is the most transparent employer,some targets are not easy to attain,KCB
Analyst,3.0,2024-07-01,Current employee,good bonuses are paid every year,the internal process of being hired internally is hard,KCB
Applications developer,4.0,2024-05-14,"Current employee, more than 1 year",You get an opportunity to work on different kinds of projects which can in return grow your skills,Projects take a lot of time to finish due to unnecessary delays.,KCB
Data entry clerk,5.0,2024-05-22,"Current employee, more than 1 year",Leading bank in East and Central africa,You will handsomely paid well according to your experience,KCB
Card operations officer,5.0,2024-05-22,"Former employee, less than 1 year",Good work environment in the office,The leave days are a little,KCB
Teller,4.0,2024-05-20,"Current employee, more than 3 years",Good EmployerGood annual salary increment,Nothing to share for now,KCB
Business analyst,4.0,2024-04-17,"Current employee, more than 3 years",Good working environment and opportunities for growth,It is a results driven environment,KCB
Clerical assistant,4.0,2024-04-16,Current employee,Extensive medical coverGood employer,None I have experienced so far,KCB
Management trainee,5.0,2024-03-14,"Current employee, more than 3 years",good medical scheme and employee retirement scheme,role stagnation can extende up to more than a year,KCB
Customer success manager,4.0,2024-03-19,"Current employee, more than 5 years","Flexibility, training and development and career growth opportunities",Long working hours pressure to deliver,KCB
