Job Title,Job Rating,Time,Job Status,Pros,Cons,Company_Name
Senior Product Manager,5.0,2025-08-12,"Current employee, more than 5 years",unlimited PTOGreat productsStability,Average pay compared to competitors,MicroSoft
Anonymous Employee,4.0,2013-01-28,"Current employee, more than 10 years","1.  If you love tech, this is a great place.  No doubt you'll talk tech mostly the MSFT stack from enterprise to consumer  from PCs to phones to Xboxes  from datacenter to desktop.2.  What were GREAT benefits are now VERY GOOD took a small step down but still probably better than you'll find at 99% of large corporations.  If you've got family  the value of the benefits is even higher.  401k match is nice.3.  Even with it's struggles MSFT is still a cash printing machine.  This means if you can keep your nose clean and do reasonable work, you can have a stable job, pay your bills, feed your family, and not worry too much about layoffs.  The stock you own likely won't tank, but probably won't go up much either.  You'll get a bonus each year and some stock.  It's a decent life if you aren't looking to light the world on fire.","Brand on Your Resume:  After many years of losing market share and struggling to be at the front end of innovation and the fact that there's 90,000 employees, don't think MSFT is necessarily going to be attractive on your resume to more agile and smaller companies.Managing Your Career:  Make you say this out loud so it registers  90,000 employees work there.  Double that for vendors.  It is VERY hard to ""stand out"" and move up in the company.  Don't expect your manager to be much of an advocate or enabler to help you meet your career goals  they are basically trying to survive the stack rank every year too.  Not familiar with the stack rank?  Check out the 2012 Vanity Fair article called ""Microsoft's Lost Decade"".",MicroSoft
Product Manager 2,2.0,2025-08-06,"Current employee, more than 5 years","A decent salary and benefits, all things considered","The expectation to grow products exponentially, but bureaucracy and lack of autonomy hamper your ability to actually execute on any sort of ambitious vision.",MicroSoft
Product Manager,4.0,2025-07-18,"Former employee, more than 10 years"," I constantly felt like there was a steady flow of very talented people, Not only are people brilliant but also open to mutual growth and learning. Exceptional cultural patience, especially within the New England management team, where time and space were generously given for individuals to grow and integrate. The company’s scale and appetite for calculated risk created abundant opportunities, which I was empowered to pursue and make the most of really making for an awesome career. Microsoft has a remarkable ability to hire genuinely kind and caring individuals. I deeply valued and admired the ICs I worked alongside."," Senior leadershipCVP level often impedes progress with decisions that feel disconnected from the realities of product development and customer needs. CVPs and above are disjoint from building and customer feedback process and are difficult and even resistant to involve or inform. This can lead to erratic decisionmaking canceling projects then months later restarting them as competitors did it, people working on the same thing but in nuanced different ways. CVPs really are neglecting areas where the Microsoft brand is strong, in favor of ""red ocean"" areas where Microsoft could succeed but would face tremendous friction. Microsoft is moving to a culture of layoffs where they are not based on performance or any meaningful metric often eliminating people who are incredibly talented devoted and loyal over people who really are stagnant. PM leadership continuously fails to define a strategy in any meaningful way to help organize IC teams.",MicroSoft
Senior Data Center Technician,4.0,2025-08-10,"Current employee, more than 3 years","Good pay, leaves a bit to be desired when compared to other big tech, but in general quite solid. Culture is generally great, benefits are fantastic. Lots of opportunities for growth. Having Microsoft on your resume is obviously a huge plus. Tons of opportunity to work with some incredibly smart, talented people. Management will fight for you on your behalf if you have the right skills and mindset.","Big shift lately towards an Amazonlike performance culture and less trust placed in employees. Lots of bureaucracy that makes it difficult to truly innovate. Pay is not good enough IMO for the second largest company in the world market cap. Lots of values that are thrown out and sound really good, but in practice  especially as you move up  are essentially thrown out the window. Feels like MSFT bought too many GPUs without figuring out how to make it actually profitable, and the employees are paying the price.",MicroSoft
Customer Success Account Manager,3.0,2025-07-28,"Current employee, more than 8 years",Great benefits.  People take great pride in the work they do.  Microsoft is always at the forefront of technology and innovation.,"The role is seen as at the bottom.  Other roles are promoted more frequently and if you haven’t forged good relationships with those you work with, you’ll find their feedback can severely tarnish your year end review.  You can really learn a lot in this role but it can be difficult to have a career doing this. While there are some that have done so, it’s advisable to leverage the learning opportunities to move into other roles as quickly as you can.  This is also one of the only roles that have you on call 24/7.  They’ll tell you that you don’t have to answer the phone at 1am but if something goes awry and you don’t answer, you own the accountability.",MicroSoft
Senior Data Analyst,1.0,2025-08-08,"Current employee, more than 10 years","Great benefits, great people, great place to learn",They will lay you off in a heartbeat if it makes any level of sense to them. There is no loyalty to employees. I have seen 20+ layoffs with the company in 23 years. I have been laid off twice by them. Be grateful for every day and always keep your resume current and have another plan.,MicroSoft
Sr Product Marketing Manager,2.0,2025-07-23,"Former employee, more than 10 years","Great benefits, amazing people and the chance to work on some of the best products in the industry.","After having my most successful year at Microsoft Excellent Connect Review, Bonuses and Raises I was laid off after 15 years with the company. Why? Age I am over 55, Years in role, I was having huge impact but, I had not changed roles in over 5 years because I loved what I did and was having impact doing it and Salary I was at the top end of the salary. I am glad I left now that meeting 100% of your Connect objectives is now seen as only reaching 80% of them, This means MSFT can hire two people with minimal experience and have them work 6070 hrs a week for the same cost as me that will be happy to change roles every three years. In short, they drew a line, if you were over the line with age, salary, or years in role, you were gone.",MicroSoft
Csam - Customer Success Account Manager,3.0,2025-05-31,"Former employee, more than 1 year","You might work for one of the most powerful tech companies on Earth, but your clients just want to know:“How do I reset my Outlook password without calling Steve in IT?”You're overqualified, underutilized, diplomatically smiling through every meeting, and wielding more buzzwords than actual influence. But hey, at least you’ve got swag, stock options, and an endless supply of acronyms","Innovation, Meet RegulationTrying to introduce Power Platform to a local government agency is like trying to install solar panels on a sinking rowboat. Your big goals? Enable collaboration, improve workflows, modernize services.Reality? Convince the IT director’s cousin not to unplug the onprem mail server againYou're supposed to “drive adoption” of Microsoft tools... with clients who still pay invoices via fax. You’re constantly pushing for “modern collaboration,” while begging someone to accept a Teams meeting instead of sending a meeting invite from Lotus NotesWhen something actually breaks? You get to say your signature line:“We’ve engaged engineering and will follow up shortly.”Translation: “We emailed someone who’s actively ignoring us.”You have no decisionmaking power. You're like a cloud concierge with a laminated menu no one orders from",MicroSoft
Partner Development Manager,4.0,2025-07-04,"Current employee, more than 8 years","Most folks I met at Microsoft are great people. Because my team is great and my colleagues are dedicated to customer satisfaction, my job is enjoyable. Benefits are great. In the US, we have access to fantastic resources. Well respected company and gives you skills to thrive elsewhere.","The layoffs have been consistent over the past couple years and it has me in this constant zone of anxiety. I have to keep applying for roles externally just in case and that takes a lot of time. Career growth is very difficult at MS. You have layoffs and many talented people raising their hands for the same role. It’s easy to feel stuck in a job here. It’s all about exposure, your network and the stretch assignments you do outside of your role, to get you known. It can feel exhausting that doing your job isn’t enough. MS doesn’t see the great employees and offer to promote you into a new role, it’s all in your hands. Pay isn’t as good as other tech firms.",MicroSoft
