Job Title,Job Ratings,time,JobStatus,Pros,Cons
Anonymous employee,4.0,"May 28, 2025",Current employee,"Comprehensive Medical Cover
Pension
Loan facilities at a competitive rate","Some targets set are not smart
Loan options not flexible"
Business development executive manager,4.0,"Feb 27, 2024",Current employee,"Good salary, salary increment every year.
Different types of loans available to staff.",Long working hours with only few days of leave
Operations manager,4.0,"Mar 5, 2024",Current employee,Offers a challenging working environment for those in operations,Slow growth and too engaging
Anonymous employee,3.0,"Feb 1, 2017","Current employee, more than 10 years",They have good loan facilities for their staff.  Benefits such as  and leave allowance are reasonable.,"Top management get most of the perks e.g their bonuses are not based on performance but on the Relation you have with the MD,  Targets set for lower staff are shifted just before the year ends thus destabilizing your end-year performance appraisal, Target given are not smart and very unrealistic etc"
Support,3.0,"Jul 9, 2017",Former employee,"Good pay,  on the job training , exposure to a variety of systems, leave days","workload, low upward career  mobility, can hit the ceiling in pay raise after a reaching a certain level"
Legal officer,3.0,"Jan 16, 2021","Current employee, more than 1 year","Broad commercial legal experience
Good benefits like insurance and bonuses","Fixed culture mindset, government like"
Underwriter,2.0,"Aug 10, 2025","Former employee, more than 5 years",Feels like family in a lot of ways,Very challenging to grow at the company
Project manager,3.0,"Aug 7, 2025","Current employee, more than 3 years","- Excellent credit facilities for staff
- Numerous internal opportunities for lateral growth","- Rigid in terms of adoption of solutions
- Challenging organizational culture"
Small business banker,4.0,"Jul 24, 2025","Former employee, more than 8 years",Offer good salary packages for borth entry grades and expert grades,Bonuses are not commensurate to companies earnings
Business analyst/business development,5.0,"Jun 6, 2025","Former employee, more than 10 years","1. Open door policies, great management and work-life balance: (depending on the department), 
2.Great HR support including staff wellness programs, and opportunities for personal growth.
3. Available opportunities for career growth.
4. Benefits such as medical cover, insurance cover, annual bonuses based on performanceand grade, pensionable pay.
5. The greatest CEO.","1. There are variations in management and leadership skills including communication, support and opportunities depending on the department.
2. Annual salary reviews would be slow depending on staff grades."
Atm manager,4.0,"Jul 5, 2025","Former employee, less than 1 year","Good communication among team members 
Efficient handling of tasks
Team building activities",Working under pressure since you are expected to meet your targets.
Business analyst,5.0,"Apr 21, 2025","Current employee, more than 10 years",Very good at training its staff with requisite courses,The upskilling may not come witha salary increment
Relationship banker,5.0,"Apr 8, 2025","Current employee, more than 1 year","Great employer, great learning curve and exposure to the financial  sector.",No cons with the current structure.
Contact center representative,3.0,"Apr 11, 2025","Current employee, more than 8 years","Flexible working hours , medical cover & yearly bonus",Nepotism and favoirism and unfair appraisals
Business banker,4.0,"Mar 10, 2025","Former employee, more than 5 years",good employer with good salary,not seen any cons on employment
Finance manager,4.0,"Feb 20, 2025","Former employee, more than 5 years","Secure, pays well and good package","Internal audit, leave over weekend will take 0.5 days"
Ops manager,5.0,"Feb 11, 2025","Former employee, more than 1 year",Good benefits salary and job security,Clearly defined growth prospects for all levels.
Client service representative,3.0,"Feb 19, 2025",Current employee,The staff are well trained,Huge company not easy to grow
Data analyst,5.0,"Feb 12, 2025","Former employee, more than 3 years",Great organization to work for,Management are like non -touchables
Customer service,5.0,"Jan 7, 2025","Current employee, more than 5 years",Good pay ease and bonuses,Non flexible work Hours .
Atm manager,4.0,"Jul 5, 2025","Former employee, less than 1 year","Good communication among team members 
Efficient handling of tasks
Team building activities",Working under pressure since you are expected to meet your targets.
Business analyst,5.0,"Apr 21, 2025","Current employee, more than 10 years",Very good at training its staff with requisite courses,The upskilling may not come witha salary increment
Relationship banker,5.0,"Apr 8, 2025","Current employee, more than 1 year","Great employer, great learning curve and exposure to the financial  sector.",No cons with the current structure.
Contact center representative,3.0,"Apr 11, 2025","Current employee, more than 8 years","Flexible working hours , medical cover & yearly bonus",Nepotism and favoirism and unfair appraisals
Business banker,4.0,"Mar 10, 2025","Former employee, more than 5 years",good employer with good salary,not seen any cons on employment
Finance manager,4.0,"Feb 20, 2025","Former employee, more than 5 years","Secure, pays well and good package","Internal audit, leave over weekend will take 0.5 days"
Ops manager,5.0,"Feb 11, 2025","Former employee, more than 1 year",Good benefits salary and job security,Clearly defined growth prospects for all levels.
Client service representative,3.0,"Feb 19, 2025",Current employee,The staff are well trained,Huge company not easy to grow
Data analyst,5.0,"Feb 12, 2025","Former employee, more than 3 years",Great organization to work for,Management are like non -touchables
Customer service,5.0,"Jan 7, 2025","Current employee, more than 5 years",Good pay ease and bonuses,Non flexible work Hours .
Locked job title,5.0,"Apr 25, 2025","Former employee, more than 1 year","This review is locked, to see it please log in",
Locked job title,5.0,"Apr 25, 2025","Former employee, more than 1 year","This review is locked, to see it please log in",
Locked job title,5.0,"Apr 25, 2025","Former employee, more than 1 year","This review is locked, to see it please log in",
Locked job title,5.0,"Apr 25, 2025","Former employee, more than 1 year","This review is locked, to see it please log in",
Locked job title,5.0,"Apr 25, 2025","Former employee, more than 1 year","This review is locked, to see it please log in",
Locked job title,5.0,"Apr 25, 2025","Former employee, more than 1 year","This review is locked, to see it please log in",
Locked job title,5.0,"Apr 25, 2025","Former employee, more than 1 year","This review is locked, to see it please log in",
Locked job title,5.0,"Apr 25, 2025","Former employee, more than 1 year","This review is locked, to see it please log in",
Locked job title,5.0,"Apr 25, 2025","Former employee, more than 1 year","This review is locked, to see it please log in",
Locked job title,5.0,"Apr 25, 2025","Former employee, more than 1 year","This review is locked, to see it please log in",
Locked job title,5.0,"Apr 25, 2025","Former employee, more than 1 year","This review is locked, to see it please log in",
Locked job title,5.0,"Apr 25, 2025","Former employee, more than 1 year","This review is locked, to see it please log in",
Locked job title,5.0,"Apr 25, 2025","Former employee, more than 1 year","This review is locked, to see it please log in",
Locked job title,5.0,"Apr 25, 2025","Former employee, more than 1 year","This review is locked, to see it please log in",
Locked job title,5.0,"Apr 25, 2025","Former employee, more than 1 year","This review is locked, to see it please log in",
Locked job title,5.0,"Apr 25, 2025","Former employee, more than 1 year","This review is locked, to see it please log in",
Locked job title,5.0,"Apr 25, 2025","Former employee, more than 1 year","This review is locked, to see it please log in",
Locked job title,5.0,"Apr 25, 2025","Former employee, more than 1 year","This review is locked, to see it please log in",
Locked job title,5.0,"Apr 25, 2025","Former employee, more than 1 year","This review is locked, to see it please log in",
Locked job title,5.0,"Apr 25, 2025","Former employee, more than 1 year","This review is locked, to see it please log in",
Sourcing,5.0,"Dec 17, 2024","Current employee, more than 1 year",Good working culture and experience.,Long working hours and targets
Card and e-channels officer,3.0,"Nov 27, 2024","Former employee, more than 5 years","Challenging environment, skills on the job","Pressure for targets
Everyone is on the run
can get stuck in one position for long"
Personal banker,3.0,"Oct 25, 2024","Current employee, more than 3 years","Protocol is strictly adhered to.
Fairly good salary scales","Limited growth opportunities especially when you don't boot lick.
Toxic environment in most places brought on by toxic leadership."
Business intelligence developer,5.0,"Dec 6, 2024","Current employee, more than 1 year","Well structured per role data engineer,data science,dm.qa",Missing big data in analytics
Customer relationship manager,4.0,"Nov 18, 2024","Former employee, more than 1 year","Big company, Bonus, Job satisfaction, Good salary","High pressure, politics, bad managers, bad culture"
Relationship manager,5.0,"Nov 13, 2024","Former employee, more than 8 years",Good employer who renumerates well based of performance,There's limited growth opportunity as promotions are hard to come by
Relationship manager,4.0,"Nov 20, 2024","Former employee, more than 8 years","Good culture,growth,good insurance packages,friendly services,",Delayed promotion especially for internal hires.
It project manager,2.0,"Oct 30, 2024",Former employee,Salary increaments available based on performance,The company doesnot sponsor the staff for professional traininngs
Cash officer,3.0,"Oct 26, 2024","Current employee, more than 5 years",Awesome employee benefits with bonus pay,You may stay in the same position for years
Finance business partner,2.0,"Oct 16, 2024","Current employee, more than 10 years",Lots of staff benefits for employees,Unstructured promotions there is no guaranteed growth
Bank teller,2.0,"Oct 12, 2024",Current employee,Work dynamics changes continuously so you learn alot,Pressure which is constant and unnecessary
Bank teller,5.0,"Oct 4, 2024","Current employee, more than 5 years",Opportunties for growth are immense.,Work life balance is limited
Business banker,3.0,"Sep 17, 2024","Current employee, more than 1 year",Promotions are performance based and not based on who know who,There is a little bit on nepotism in the company
Relationship manager,4.0,"Sep 20, 2024","Former employee, more than 8 years",Good working environment and good bonuses,Unfair and subjective appraisal system
Sales and service advisor,2.0,"Oct 3, 2024","Former employee, more than 1 year","Fair pay
Pension when confirmed
Medical cover","Long hours
Management
Slow growth"
Relationship manager,3.0,"Sep 25, 2024","Former employee, more than 10 years",Integrity observed while working in the bank,No work-life balance in the work place
Team assistant,5.0,"Sep 16, 2024","Current employee, more than 10 years",Medical. Bonus. Opportunities for growth.,"Overall, it is a good place to be"
Credit analyst,3.0,"Aug 10, 2024","Former employee, more than 3 years","Good bonus, medical and staff loans. Wonderful colleagues","No flexible hours or WFH, government like bureaucracy and no room for growth."
Anonymous employee,4.0,"Aug 25, 2024","Former employee, more than 3 years","Good pension and medical cover, great exposure to banking.",Strict bureaucratic culture that is engrained within those who have been there for long
Sales executive,3.0,"Sep 6, 2024",Former employee,Payment of salary on time,No much career growth progressively for men
E-channels officer,4.0,"Sep 3, 2024",Former employee,Company offers good compensation to employees,Micromanagement of employees is a downside.
Product manager,4.0,"Aug 21, 2024",Former employee,Benefits are great and the experience is diverse,Micro management which demotivates employees to do more and be more
Asr (account service representative ),3.0,"Jul 10, 2024","Former employee, more than 3 years",Above average salary compared to similar banks,Long working hours and very limited breaks
Personal banker,4.0,"May 16, 2024","Former employee, more than 5 years","Growth is performance based, the better you perform, the more chances you have to grow. Career growth is on a performance merit basis","Competition is very stiff across the board, both internally between staff and externally with other competitors"
Customer experience executive,3.0,"Jul 23, 2024",Former employee,"Medical Cover
Annual Bonus
Yearly Increment
Timely Salary Payment","Limited job rotation.
Lack of  an energetic corporate culture.
Rigid working environment. Harsh on moms; more so single moms."
Enterprise support engineer,5.0,"Jul 23, 2024","Former employee, more than 5 years","Pay bonus
Very low interest rates for loan facilities as a staff
Good pay",Official wear -Suit and tie
Relationship manager,4.0,"Jul 29, 2024",Current employee,"Good pay, Medical Insurance, Networking",Regula meetings for KPI discussion
Head trade finance services,3.0,"Jun 4, 2024","Former employee, more than 3 years",It has structures that make things work smoothly.,The religious aspects of the 'Kingdom' Bank can be very inhibitive and intoxicating to open-minded and independent-thinking staff.
Operations manager,4.0,"Jul 8, 2024",Former employee,Excellent experience through rigorous training,Heavy workload due to a big customer portfolio
Business development banker,5.0,"Jun 17, 2024",Former employee,Gained wide skills in sales and marketing.,Learned to work under pressure and multitasking.
Ssa clerk,5.0,"Jun 15, 2024","Current employee, less than 1 year",Best lending rates and good working conditions,No negative traits so far
Banker,3.0,"May 27, 2024",Current employee,give me much needed jobstability,long working hours and perfomance pressure
Sales executive,4.0,"May 21, 2024","Former employee, less than 1 year",High growth probability throught the ranks.,The pressure was too high for me.
Customer service representative,3.0,"May 5, 2024","Current employee, more than 3 years","Good training and mentorship
Good salary to start","No work life balance
Very extended working hours"
Customer service representative,5.0,"Apr 6, 2024",Former employee,i gained a wealth of experience and training towards the growth of my career,alot of pressure especially for a person with a young family
It systems administrator,4.0,"Mar 25, 2024",Former employee,Good place to nurture talent with vast exposure to a busy environment.,There are days you will have long working hours.
Reconciliation officer,3.0,"Mar 27, 2024",Current employee,Fairly stable job security and retirement plan,Unfair reward structures that are based more on expediency than experience and qualifications
Graduate clerk,3.0,"Apr 6, 2024","Former employee, more than 1 year",Good pay and bonus when there's good profit,Lots of targets and little personal time
Manager,4.0,"Apr 14, 2024","Former employee, more than 8 years",Best Hr practices and procedures,None so far but abit strict
Business banker,2.0,"Dec 29, 2023","Current employee, more than 10 years","Loan benefits,Sacco membership for all staff",The management has one characteristic petty.Most mid level managers role is to make noise and they actually get higherpay and bonus that the person working.Implementation of policies is based on audit whose intention is to sack.Long working hours no work life balance
Personal banker,3.0,"Mar 10, 2024",Former employee,you can be employed on permanent terms,too many meetings especially on-line meetings
Relationship manager,2.0,"Jan 7, 2024","Former employee, more than 8 years",Reasonable benefits although they have gotten worse over the years.,"HR does very little for employees
Career stagnation 
No/minimal Salary growth
Rigid management 
Top management enjoy most of the perks"
Dealer,2.0,"Feb 8, 2024",Current employee,Bank so interdepartmental transfers are possible,"Bank, so compensation is limited"
Sales and service advisor,3.0,"Jan 10, 2024","Former employee, more than 1 year","Good health benefit package that covers dental, optical.....",Long working hours and a lot of paper work
Business development manager,3.0,"Dec 4, 2023",Current employee,"Benefits, insurance, loans, sacco benefit and bonuses","Staff welfare, grapevine and an audit team that does not correct has an intention on always letting people go."
Relationship manager,3.0,"Oct 25, 2023","Current employee, more than 5 years",Good starting point for new recruits,"Too much work pressure and workload No life ,work balance No equal pay on people under same role .Pay is according to whom you know and luck Moving upwards is slow"
Agent,4.0,"Jan 15, 2024",Current employee,Great nice and excellent employer,Nothing experienced was bad about it
Deli clerk,3.0,"Jan 9, 2024",Current employee,no work-life balance for junior staff,good remuneration packages for staff
Relationship manager,3.0,"Jan 6, 2024",Current employee,Good working environment for employees,Strict policies on their employees
Software engineer,3.0,"Dec 12, 2023",Current employee,thet offer mid salaries to their employees. good salaries if you do your research,long working hours especially for IT professionals
Intern,5.0,"Dec 14, 2023","Former employee, less than 1 year",Great community of people and good management,Some intern work is quite repetitive
Business development manager,2.0,"Nov 19, 2023","Former employee, more than 5 years",The company is stable financially. Not affected much by the market volatility.,Suffers from the big man syndrome. Senior manager do not articulate strategy and dictate tactics.
